Título,Precio,M2,Habitaciones,Baños,Parking,Link
Piso luminoso piso junto al ‘mercat de santa caterina’ en Barcelona,210.000 €,50,1,1,Sin plaza parking,
Piso  oportunidad polvorín en La Marina-Montjuïc Barcelona,169.000 €,70,3,1,,
Piso sensacional oportunidad en gracia con terraza en Barcelona,215.000 €,60,1,1,,
Tríplex fantástico triplex de 244m2 con jardín en venta. tiene 1 habitación en suite y 3 habitaciones dobles. dos baños con bañera. salón de 60m2 con acceso a cocina y aseo de cortesía. ubicado en la exclusiva zona de torre vilana. en Barcelona,2.500.000 €,244,4,4,Plaza parking ,
Piso vivienda toda reformada en Bon Pastor Barcelona,131.000 €,67,3,1,,
Piso en carrer industria piso de particular a particular en Barcelona,480.000 €,116,3,2,,
Piso junto al mercado del el Carmel en Carmel Barcelona,89.000 €,56,1,1,,
Dúplex en Sant Martí Barcelona,485.000 €,147,3,2,Sin plaza parking,
Piso 65m en carrer torrent de l´olla obra nueva en Vila de Gràcia Barcelona,448.000 €,65,2,2,,
"Piso en passatge d'arriassa 1 nuevo a estrenar¡¡ piso alto y luminoso con ascensor de 50 m2, todo exterior, 2 habitaciones, a/a bomba de calor y frío, balcón. en Barcelona",159.000 €,50,2,1,,
Piso 62m en carrer torrent de l´olla obra nueva en Vila de Gràcia Barcelona,411.111 €,62,2,2,,
Piso 59m en carrer torrent de l´olla obra nueva en Vila de Gràcia Barcelona,406.000 €,59,2,2,,
Piso 65m en carrer torrent de l´olla obra nueva en Vila de Gràcia Barcelona,435.000 €,65,2,2,,
Apartamento 59m obra nueva en Horta Barcelona,290.000 €,59,2,1,,
Piso 56m en carrer bernat bransi obra nueva en Carmel Barcelona,216.000 €,56,2,1,,
"Piso  con 3 habitaciones, ascensor, aire acondicionado y terraza en Barcelona",369.000 €,80,3,1,Sin plaza parking,
"Piso  72 m² , en Carmel Barcelona",85.000 €,72,2,1,Sin plaza parking,
Piso  reformado con ascensor! en Prosperitat Barcelona,155.000 €,61,2,1,Sin plaza parking,
Piso en Camp de l´Arpa Barcelona,329.000 €,78,3,3,Sin plaza parking,
Piso r153 en Dreta de l´Eixample Barcelona,445.000 €,101,3,2,Sin plaza parking,
Piso  venta calle aragó en Esquerra Baixa de l´Eixample Barcelona,485.000 €,120,4,2,Sin plaza parking,
Piso magnífica vivienda en la zona de camp de l'arpa dEl Clot. en Barcelona,192.000 €,32,1,1,Sin plaza parking,
Piso gran oportunidad en La Marina-Montjuïc Barcelona,169.000 €,69,2,1,Sin plaza parking,
Loft propiedad para reformar de estilo industrial en Barcelona,436.800 €,310,1,1,,
Piso apartamento reformado de 2 dormitorios en venta en el eixample dreta en Barcelona,245.000 €,51,2,1,Sin plaza parking,
Piso  a reformar en St. Pere - Sta. Caterina - El Born Barcelona,380.000 €,70,2,1,,
Piso 62m en carrer torrent de l´olla obra nueva en Vila de Gràcia Barcelona,399.000 €,62,2,2,,
Piso a reformar junto avda gaudi en Baix Guinardó Barcelona,225.000 €,65,3,1,Sin plaza parking,
Piso  venta pz. francesc macia en Sant Gervasi - Galvany Barcelona,570.000 €,75,3,1,,
"Piso ascensor, piscina comunitaria en Sant Andreu Barcelona",219.000 €,72,2,1,Sin plaza parking,
Piso 12768ob - interesante piso en eixample cercano a plaça francesc macia en Barcelona,620.000 €,85,2,1,Sin plaza parking,
Apartamento en Vilapicina - Torre Llobeta Barcelona,271.000 €,91,3,1,Sin plaza parking,
Apartamento 75m obra nueva en Horta Barcelona,315.000 €,75,2,2,,
Piso en Poblenou Barcelona,1.090.000 €,115,3,2,Plaza parking ,
Piso en El Coll Barcelona,250.000 €,70,3,1,Sin plaza parking,
Piso  en venta de 42 m2 en Raval Barcelona,149.000 €,42,2,1,Sin plaza parking,
Piso en Tres Torres Barcelona,495.000 €,78,2,2,,
Apartamento en Camp d´en Grassot - Gràcia N. Barcelona,350.000 €,93,3.763,,,
Piso en carrer riera baixa piso totalmente reformado y amoblado a estrenar. en Barcelona,215.000 €,63,2,2,,
Piso cerca del monumento en Vallvidrera - Tibidabo - Les Planes Barcelona,495.000 €,120,3,2,Sin plaza parking,
Dúplex en La Marina-Montjuïc Barcelona,506.000 €,145,4,3,Sin plaza parking,
"Piso , de obra nueva, con balcón y dos habitaciones en Barcelona",398.000 €,81,2,2,Plaza parking ,
"Piso  en venta en eixample, 2 dormitorios. en Barcelona",1.275.000 €,150,2,3,,
Piso a reformar-oportunidad! en Porta Barcelona,165.000 €,66,4,1,Sin plaza parking,
Piso  reformado! en Trinitat Nova Barcelona,119.000 €,50,2,1,Sin plaza parking,
"Piso  100 m² , en Esquerra Baixa de l´Eixample Barcelona",320.000 €,100,2,2,Sin plaza parking,
Piso  en venta de 115 m2 en Esquerra Baixa de l´Eixample Barcelona,410.000 €,115,4,2,Sin plaza parking,
Piso junto c. cial diagonal mar en Diagonal Mar - La Mar Bella Barcelona,277.000 €,78,3,1,Sin plaza parking,
Piso  para entrar a vivir en Porta Barcelona,137.000 €,45,2,1,Sin plaza parking,
Piso finca clasica en Fort Pienc Barcelona,298.000 €,92,4,1,Sin plaza parking,
Piso totalmente exterior!!!!! en Besòs - Maresme Barcelona,169.000 €,65,3,1,Sin plaza parking,
Piso muy buena ubicacion en Vila de Gràcia Barcelona,622.250 €,190,1,1,,
Piso  amueblado con vistas a la ciudad y al mar en Barcelona,1.300.000 €,129,3,2,,
Piso  íntegramente reformado de 2 dormitorios junto al ‘passeig de sant joan’ en Barcelona,490.000 €,75,2,1,Sin plaza parking,
Ático exclusivo ático en finca regia en Pedralbes en Barcelona,2.490.000 €,598,5,6,,
Ático increíble ático dúplex con terraza en venta en eixample en Barcelona,2.158.000 €,150,2,3,Sin plaza parking,
Piso en Sant Ramon - Maternitat Barcelona,430.000 €,108,4,2,Sin plaza parking,
Piso  con 2 habitaciones y ascensor en Sant Gervasi - Galvany Barcelona,295.000 €,60,2,1,Sin plaza parking,
Piso en ronda sant antoni piso en rda san antonio en Barcelona,465.000 €,92,3,2,Sin plaza parking,
Piso en carrer menorca piso sant martí de provençals en Barcelona,240.000 €,95,3,1,Sin plaza parking,
Piso en Navas Barcelona,230.000 €,77,4,1,Sin plaza parking,
Piso en Guinardó Barcelona,237.000 €,88,3,1,Sin plaza parking,
Piso en passeig bonanova piso con piscina en la bonanova en Barcelona,800.000 €,159,5,3,Plaza parking ,
Piso  totalmente reformado en Guinardó Barcelona,330.000 €,100,4,2,Sin plaza parking,
Apartamento en Gòtic Barcelona,454.000 €,90,2,1,,
Ático 121m en carrer muntaner obra nueva en Esquerra Baixa de l´Eixample Barcelona,995.000 €,121,2,2,,
Piso oportunidad: fantástico piso en venta con piscina comunitaria en la mejor zona de Pedralbes en Barcelona,990.000 €,117,2,2,Sin plaza parking,
Piso en Carmel Barcelona,162.500 €,60,3,1,Sin plaza parking,
Piso en Poble Sec Barcelona,272.000 €,72,3,1,Sin plaza parking,
Piso en La Marina-Montjuïc Barcelona,353.500 €,112,4,2,Sin plaza parking,
Piso excelente ubicación en Sant Gervasi - Bonanova Barcelona,455.000 €,85,2,2,Sin plaza parking,
Piso en Dreta de l´Eixample Barcelona,975.000 €,239,5,3,Sin plaza parking,
"Apartamento edificio de 650 m² en venta en el gótico, en Barcelona",1.600.000 €,646,2.477,,Sin plaza parking,
Apartamento en Sant Gervasi - Bonanova Barcelona,552.000 €,109,3,2,Sin plaza parking,
Ático exclusivo ático dúplex en eixample esquerra en Barcelona,1.175.000 €,208,3,4,,
Piso excepcional y luminoso piso en pleno barrio del born en Barcelona,309.000 €,97,2,1,Sin plaza parking,
Piso paseo de gracia espectacular vivienda en la mejor zona en Barcelona,2.500.000 €,160,3,4,,
Piso  con 2 habitaciones con aire acondicionado en Barcelona,250.000 €,48,2,1,,
Casa majestuosa casa con vistas y jardín en Pedralbes en Barcelona,4.600.000 €,686,6,7,Plaza parking ,
Dúplex  de diseño en font d'en fargues en Font d´en Fargas Barcelona,515.000 €,267,5,3,,
"Piso  alto con terraza y parking en sant gervasi, en venta en Barcelona",960.000 €,149,4,2,,
Piso  con 2 habitaciones con aire acondicionado en Barcelona,270.000 €,55,2,2,,
Apartamento 3 propiedades en venta conjunta en plaza cataluña en Barcelona,1.700.000 €,290,4,5,Plaza parking ,
Apartamento  con 3 habitaciones con calefacción y aire acondicionado en Barcelona,580.000 €,104,3,2,,
Casa en Carmel Barcelona,199.500 €,80,3,1,Sin plaza parking,
Ático en Sants Barcelona,223.500 €,66,3,1,Sin plaza parking,
Dúplex en rambla guipuscoa (de) duplex exterior en Barcelona,249.000 €,128,4,2,Sin plaza parking,
Piso magnífico dúplex reformado con zona comunitaria con piscina en Barcelona,1.100.000 €,234,3,3,,
Piso amplio y luminoso piso en la calle mandri en Barcelona,945.000 €,170,3,4,Plaza parking ,
Piso práctica y funcional vivienda en Tres Torres en Barcelona,1.020.000 €,163,5,3,Plaza parking ,
Piso en Ciutat Meridiana Barcelona,119.000 €,83,3,1,Sin plaza parking,
Piso en La Marina-Montjuïc Barcelona,210.000 €,71,3,1,Sin plaza parking,
Apartamento en Guinardó Barcelona,178.000 €,55,3,1,Sin plaza parking,
Casa pareada en Sant Gervasi - Bonanova Barcelona,2.280.000 €,302,5,4,Plaza parking ,
Piso 1592 en Sagrada Família Barcelona,359.000 €,90,3,2,Sin plaza parking,
"Piso  venta sants - plaza españa, 300000€ en Hostafrancs Barcelona",300.000 €,56,2,1,Sin plaza parking,
Piso  modernista en venta en Dreta de l´Eixample Barcelona,2.300.000 €,254,8,1,Plaza parking ,
"Piso  de 99 m2 a reformar en sant gervasi galvany con 3 habitaciones, 1 baño, cocina. en Barcelona",495.000 €,109,3,1,Sin plaza parking,
Piso  en venta en el Poblenou en Poblenou Barcelona,255.000 €,56,2,1,Sin plaza parking,
"Piso  de lujo en venta en diagonal mar, en Diagonal Mar - La Mar Bella Barcelona",1.375.000 €,135,4,2,,
Piso  para entrar a vivir! en La Guineueta Barcelona,200.000 €,88,4,1,Sin plaza parking,
Piso  en buena zona de roquetas en Roquetes Barcelona,113.000 €,40,2,1,Sin plaza parking,
Piso dos entidades registrales en Verdun Barcelona,250.000 €,120,3,2,Sin plaza parking,
Apartamento en Raval Barcelona,316.500 €,100,4,2,Sin plaza parking,
Piso  en finca regia de 4 habitaciones y rehabilitado en Barcelona,550.000 €,93,4,2,Sin plaza parking,
Piso luminoso y reformado en Baix Guinardó Barcelona,275.000 €,87,2,2,Sin plaza parking,
"Piso  65 m² , en La Marina-Montjuïc Barcelona",167.000 €,65,2,1,Sin plaza parking,
Piso oportunidad inversion en La Guineueta Barcelona,138.000 €,65,3,2.123,,
Piso elegante piso reformado en eixample esquerra en Barcelona,560.000 €,95,2,2,,
Apartamento en Raval Barcelona,189.000 €,65,3,1,Sin plaza parking,
Piso reformado en via augusta en Sarrià Barcelona,1.250.000 €,234,5,3,Plaza parking ,
Apartamento piso de 226 m² con 53 m² de terraza en venta en Pedralbes en Barcelona,1.750.000 €,226,4,4,Plaza parking ,
Piso en carrer nou de la rambla luminoso piso cerca de montjuic en Barcelona,310.000 €,100,2,1,,
Piso en Fort Pienc Barcelona,340.000 €,60,1,1,Sin plaza parking,
Casa pareada terrazas jto. creu de pedralbe en Pedralbes Barcelona,3.650.000 €,770,9,7,Plaza parking ,
Ático en Bon Pastor Barcelona,253.500 €,110,4,2,Sin plaza parking,
Piso en via favencia en Prosperitat Barcelona,165.000 €,62,2,1,Sin plaza parking,
Piso ¿te gustaría estrenar vivienda? en Fort Pienc Barcelona,411.914 €,97,3,2,,
"Piso calle cantera, en Roquetes Barcelona",101.500 €,47,2,1,Sin plaza parking,
Apartamento en Bon Pastor Barcelona,186.000 €,70,4,1,Sin plaza parking,
Piso oportunidad en zona en Prosperitat Barcelona,160.000 €,60,3,1,Sin plaza parking,
Piso en Poble Sec Barcelona,230.000 €,60,2,1,,
Piso lujoso apartamento en paseo de gracia en Dreta de l´Eixample Barcelona,1.345.000 €,146,3,2,,
Piso  con gran terraza interior en eixample dret . en Barcelona,2.660.000 €,338,5,5,,
Piso  alto con vistas y terraza en Pedralbes en Barcelona,1.250.000 €,206,5,2,,
Apartamento en La Marina-Montjuïc Barcelona,262.240 €,82,3,1,Sin plaza parking,
Casa preciosa propiedad unifamiliar en bonanova en Barcelona,1.900.000 €,321,5,3,Plaza parking ,
Piso 79m en carrer foc obra nueva en La Marina-Port Barcelona,252.000 €,79,2,2,,
"Casa  con 6 habitaciones con parking, piscina, calefacción y aire acondicionado en Barcelona",1.985.000 €,567,6,6,Plaza parking ,
Piso bajos listo para entrar- una habitación doble - super luminoso en Barcelona,120.000 €,42,1,1,Sin plaza parking,
Piso  finca regia rambla cataluny en Dreta de l´Eixample Barcelona,1.850.000 €,211,5,2,,
Piso  reformado luminoso! en Roquetes Barcelona,126.000 €,50,2,1,Sin plaza parking,
Piso jto. mercado de la estrella en Camp d´en Grassot - Gràcia N. Barcelona,249.000 €,63,2,1,Sin plaza parking,
"Casa  con 5 habitaciones con parking, piscina, calefacción y jardín en Barcelona",1.880.000 €,412,5,4,Plaza parking ,
Piso en Besòs - Maresme Barcelona,127.500 €,60,3,1,Sin plaza parking,
Piso  en venta en ciutat vella en Gòtic Barcelona,291.600 €,84,2,1,Sin plaza parking,
Piso  en venta en vilapicina y torre llobeta - en Barcelona,339.000 €,98,3,2,Sin plaza parking,
Piso en carrer del concili de trento El Clot / carrer del concili de trento en Barcelona,288.000 €,54,2,1,,
Piso fantástico piso en torre vilana en Sant Gervasi - Bonanova Barcelona,1.200.000 €,130,3,2,Plaza parking ,
Casa gran oportunidad de vivir en casa adosada !!!!!! en Barcelona,250.000 €,170,3,2,Plaza parking ,
Piso en Raval Barcelona,325.000 €,92,3,1,Sin plaza parking,
Piso en carrer bilbao piso 5 habiationes en provencals en Barcelona,320.000 €,112,5,1,,
Apartamento en Canyelles Barcelona,206.000 €,74,3,1,Sin plaza parking,
Piso inmueble calle llobera en Roquetes Barcelona,68.000 €,67,2,1,Sin plaza parking,
Ático piso en venta de 70 m2 en La Bordeta Barcelona,309.000 €,70,1,1,Sin plaza parking,
Ático  de 114m² con 120m² de terrazas en venta en sant gervasi en Barcelona,790.000 €,100,4,2,Plaza parking ,
Piso  íntegramente reformado de 2 dormitorios junto al ‘passeig de sant joan’ en Barcelona,510.000 €,75,2,1,Sin plaza parking,
Piso vivienda en la zona el Poblenou en Poblenou Barcelona,260.000 €,57,4,1,Sin plaza parking,
Piso  único con terraza y piscina en eixample en Barcelona,2.685.000 €,426,6,5,,
Piso en La Verneda - La Pau Barcelona,179.000 €,75,3,1,,
Piso precioso piso en Poblenou totalmente amueblado. en Barcelona,239.000 €,52,2,1,,
Piso totalmente reformado en Gòtic Barcelona,360.000 €,91,5,2,Sin plaza parking,
Piso  en venta en vilapiscina y torre llobeta - en Barcelona,339.000 €,93,3,2,Sin plaza parking,
Piso elegante piso con terraza en eixample dreta en Barcelona,1.350.000 €,217,4,3,,
"Piso  en venta de 42 m2 ubicado en pleno eixample dreta, para reformar. en Barcelona",275.000 €,42,1,1,,
"Piso  en venta ubicado en calle portal nou, ciutat vella en Barcelona",159.900 €,38,1,1,,
Apartamento en Dreta de l´Eixample Barcelona,267.500 €,69,2,1,Sin plaza parking,
Ático lujoso ático con terraza en eixample dreta en Barcelona,935.000 €,150,3,2,Plaza parking ,
Piso bonito piso en zona tranquila en gonzalez tablas en Barcelona,645.000 €,116,4,4,,
Casa impresionante casa en venta en collserola en Barcelona,1.750.000 €,546,6,6,Plaza parking ,
Piso en La Verneda - La Pau Barcelona,160.000 €,69,3,1,Sin plaza parking,
Piso en Dreta de l´Eixample Barcelona,571.500 €,160,5,2,Plaza parking ,
Piso primero con 3 habitaciones y terraza en Raval Barcelona,290.000 €,95,3,1,Sin plaza parking,
"Piso  exterior en venta en galvany, con gran terraza y aparcamiento en Barcelona",1.580.000 €,300,6,4,,
Piso  con 3 habitaciones con ascensor en Camp de l´Arpa Barcelona,199.000 €,66,3,1,,
Piso  con piscina y vistas al tenis barcino en Barcelona,1.000.000 €,260,5,3,Plaza parking ,
Piso oportunidad en camp de l'arpa en Camp de l´Arpa Barcelona,199.000 €,65,4,1,,
Piso  en venta en calle maresme en Besòs - Maresme Barcelona,160.000 €,65,2,2,,
Piso  con 2 habitaciones con calefacción en Putget - Farró Barcelona,290.000 €,62,2,1,,
Piso  en venta de 65 m2 en Baix Guinardó Barcelona,215.000 €,65,3,1,Sin plaza parking,
Piso en Poblenou Barcelona,435.000 €,93,3,1,Plaza parking ,
"Piso totalmente reformado, bonito en Poble Sec Barcelona",249.000 €,73,3,1,Sin plaza parking,
Piso lujoso piso en la sagrera en Navas Barcelona,495.000 €,100,4,2,Plaza parking ,
Piso ático duplex con terraza y piscina en Pedralbes en Barcelona,3.500.000 €,377,5,6,,
Piso espectacular propiedad turó park en Sant Gervasi - Galvany Barcelona,3.600.000 €,410,6,5,Plaza parking ,
Piso  en venta de 67 m2 en Sant Antoni Barcelona,265.000 €,67,3,1,Sin plaza parking,
Piso en carrer enric granados piso con mucho potencial en calle enric granados en Barcelona,725.000 €,159,4,2,Sin plaza parking,
Piso  exterior junto plaza del pedr? en Raval Barcelona,178.500 €,59,3,1,Sin plaza parking,
Piso 63m en passeig maragall obra nueva en Congrés - Indians Barcelona,325.000 €,63,2,1,,
Piso  en venta en el barri gòtic en Raval Barcelona,590.000 €,72,2,2,Sin plaza parking,
Piso fabuloso piso de 4 dormitorios recién reformado y con aparcamiento en calle marina en Barcelona,750.000 €,125,4,2,Plaza parking ,
Piso en carrer de lepant 313 piso en venta sagrada familia en Barcelona,270.000 €,68,3,1,,
Apartamento en Esquerra Baixa de l´Eixample Barcelona,190.000 €,52,1,1,,
Piso  en venta con piscina. para inversores. fantastica zona comunitaria .pieza muy exclusiva. en Barcelona,749.000 €,115,3,2,,
Ático en Tres Torres Barcelona,800.000 €,100,2,1,Plaza parking ,
Dúplex moderno dúplex reformado en el putxet en Putget - Farró Barcelona,800.000 €,165,4,3,Plaza parking ,
Piso en Besòs - Maresme Barcelona,164.000 €,78,3,2.103,,
Piso local - vivienda en venta en la nova esquerra del eixample en Barcelona,190.000 €,63,2,2,,
Piso  en venta en sant gervasi-galvany en Sant Gervasi - Galvany Barcelona,730.000 €,170,4,2,Sin plaza parking,
"Piso finca semi-nueva, muy bonito en La Marina-Montjuïc Barcelona",368.000 €,80,3,2,Plaza parking ,
Piso  reformado c padilla en zona sagrada familia en Barcelona,260.000 €,68,3,1,,
Piso 105m obra nueva en Navas Barcelona,475.000 €,105,4,2,,
Planta baja estrena piso obra nueva en Taxonera Barcelona,275.000 €,68,2,1,Sin plaza parking,
Piso excelente oportunidad en Canyelles Barcelona,120.000 €,63,3,1,Sin plaza parking,
Piso en Baix Guinardó Barcelona,320.000 €,70,2,1,,
Piso  venta gran via corts catala en Dreta de l´Eixample Barcelona,571.500 €,160,5,2,Sin plaza parking,
"Apartamento  en venta en les corts - Pedralbes, 5 dormitorios. en Barcelona",2.490.000 €,303,5,5,Plaza parking ,
Piso  en venta en Ciutat Meridiana en Ciutat Meridiana Barcelona,129.000 €,65,4,1,Sin plaza parking,
Piso  a reformar en Sants Barcelona,209.000 €,49,2,1,Sin plaza parking,
Piso  en paseo de gracia en Vila de Gràcia Barcelona,1.200.000 €,140,3,2,Sin plaza parking,
Piso fantastico piso en g. via-napole en Dreta de l´Eixample Barcelona,571.500 €,160,5,2,Sin plaza parking,
Piso  en venta en la Trinitat Nova en Trinitat Nova Barcelona,110.500 €,49,3,1,Sin plaza parking,
Casa villa modernista en vallvidrera en Vallvidrera - Tibidabo - Les Planes Barcelona,1.750.000 €,472,7,3,Plaza parking ,
Piso a reformar en Raval Barcelona,99.000 €,40,2,2.475,Sin plaza parking,
Piso en Tres Torres Barcelona,725.000 €,130,5,3,Plaza parking ,
Piso en Barceloneta Barcelona,350.000 €,77,3,1,Sin plaza parking,
Piso en Esquerra Alta de l´Eixample Barcelona,745.000 €,110,3,2,Sin plaza parking,
Piso  en venta de 47 m2 en Raval Barcelona,136.500 €,47,3,2,Sin plaza parking,
Piso fenomenal piso en república argentina en Putget - Farró Barcelona,510.000 €,132,5,3,Plaza parking ,
"Piso  alto, luminoso y reformado en Tres Torres en Barcelona",990.000 €,160,3,2,Plaza parking ,
Piso inmueble en diagonal mar en Diagonal Mar - La Mar Bella Barcelona,1.290.000 €,115,3,2,Plaza parking ,
Piso excepcional piso esquinero en eixample dret en Barcelona,1.875.000 €,213,4,3,,
Piso  en venta de 105 m2 en Putget - Farró Barcelona,392.000 €,105,4,2,Sin plaza parking,
Piso  en venta - poble-sec en Poble Sec Barcelona,168.500 €,43,1,1,Sin plaza parking,
"Piso  con 5 habitaciones con ascensor, parking, calefacción y aire acondicionado en Barcelona",1.990.000 €,240,5,5,Plaza parking ,
Piso  semi reformado en venta en alfons x en Baix Guinardó Barcelona,310.000 €,86,3,1,,
Piso  para inversores en Camp de l´Arpa Barcelona,170.000 €,65,2,1,Sin plaza parking,
Piso  céntrico y luminoso en calle carme en Raval Barcelona,260.000 €,65,1,1,,
"Piso apartamento con estancias amplias y con mucha luz definen este proyecto arquitectónico y de interiorismo, en el que se ha cuidado hasta el último detalle en Barcelona",575.000 €,90,2,2,,
Piso  funcional con opción a parking en eixample en Barcelona,465.000 €,105,2,2,Plaza parking ,
Piso  en venta en travesera de gr en Baix Guinardó Barcelona,389.000 €,95,3,1,,
"Piso  en venta cerca de plaça adriano, sant gervasi en Barcelona",1.280.000 €,198,2,2,,
Piso práctica y funcional vivienda cerca mandri en Barcelona,695.000 €,139,3,2,,
Piso excepcional piso alto en el eixample en Dreta de l´Eixample Barcelona,790.000 €,175,5,2,Plaza parking ,
Apartamento en Congrés - Indians Barcelona,316.500 €,100,4,1,Sin plaza parking,
Piso  en venta en las cocheras de sarria en Sarrià Barcelona,1.095.000 €,217,4,4,,
"Piso  con 4 habitaciones, ascensor y calefacción en Barcelona",185.000 €,67,4,1,Sin plaza parking,
Piso magnífica ocasión!!! en Vila de Gràcia Barcelona,350.000 €,111,3,2,,
Piso pieza única en un palacete gótico en Gòtic Barcelona,1.280.000 €,219,2,2,,
Dúplex duplex moderno en El Coll Barcelona,395.000 €,100,3,2,Plaza parking ,
Piso 12770-ob - piso av. josep tarradella en Esquerra Alta de l´Eixample Barcelona,650.000 €,80,2,1,Sin plaza parking,
Piso magnífico piso en las cocheras de sarriá en Sarrià Barcelona,1.095.000 €,216,4,4,Plaza parking ,
Piso luminoso piso en eixample en Fort Pienc Barcelona,595.000 €,111,3,2,,
"Piso  con plaza de parking en la calle camp, en venta en Barcelona",525.000 €,82,3,1,,
Piso en el corazón del Carmel en Carmel Barcelona,129.000 €,47,3,1,,
Apartamento precioso piso muy luminoso en eixample esquerra en Barcelona,380.000 €,73,2,1,,
Piso en carrer joan guell excelente piso en el barrio Les Corts en Barcelona,360.000 €,100,4,2,Sin plaza parking,
Piso en Guinardó Barcelona,188.000 €,69,3,1,Sin plaza parking,
Piso  único en venta en las cocheras de Sarrià en Barcelona,1.095.000 €,222,4,4,,
Piso  con vistas panorámicas en Pedralbes en Pedralbes Barcelona,2.500.000 €,280,5,5,,
Casa adosada encantadora casa de diseño en sarriá en Barcelona,1.290.000 €,198,4,4,,
Piso elegante piso de cuatro habitaciones en finca regia en Barcelona,985.000 €,210,5,4,,
Piso ¡apartamento de lujo de 3 dormitorios junto al parque de la ciutadella ! en Barcelona,1.550.000 €,181,3,4,,
Piso en Vallcarca - Penitents Barcelona,355.000 €,94,3,2,Sin plaza parking,
Piso  en sarriá/ Tres Torres en Tres Torres Barcelona,1.200.000 €,220,4,5,Plaza parking ,
Casa adosada maravillosa casa con parking en Pedralbes en Barcelona,895.000 €,158,4,2,Plaza parking ,
Piso en Trinitat Vella Barcelona,156.500 €,74,4,1,,
Piso oportunidad! en Gòtic Barcelona,230.000 €,62,1,1,Sin plaza parking,
Piso en Dreta de l´Eixample Barcelona,365.000 €,95,3,1,,
Piso en St. Pere - Sta. Caterina - El Born Barcelona,380.000 €,74,2,1,,
Piso en Fort Pienc Barcelona,395.000 €,110,4,2,,
Ático fabuloso ático reformado en eixample en Dreta de l´Eixample Barcelona,1.500.000 €,198,3,3,Plaza parking ,
"Piso  angels garriga 70m2, 3hab, en La Verneda - La Pau Barcelona",154.500 €,70,3,1,,
Ático atico a reformar en Sants en Sants Barcelona,220.000 €,76,3,1,Sin plaza parking,
Piso exclusivo piso de diseño en eixample en Dreta de l´Eixample Barcelona,1.550.000 €,185,3,4,,
Apartamento próximo proyecto -en venta- en Esquerra Alta de l´Eixample Barcelona,550.000 €,98,3,2,,
"Piso  con 3 habitaciones con ascensor, calefacción y aire acondicionado en Barcelona",570.000 €,75,3,1,,
"Piso  con 4 habitaciones con ascensor, parking, calefacción y aire acondicionado en Barcelona",1.495.000 €,235,4,3,Plaza parking ,
Casa en Roquetes Barcelona,96.000 €,72,3,1,Sin plaza parking,
Piso en Raval Barcelona,157.000 €,40,1,1,,
Piso fantástico dúplex con terrazas y zona comunitaria con piscina en Barcelona,1.295.000 €,256,4,3,,
Piso elegante piso reformado en Sant Gervasi - Galvany Barcelona,1.470.000 €,273,4,4,Plaza parking ,
"Piso cuarto con 2 habitaciones, ascensor y calefacción en Barcelona",240.000 €,58,2,1,Sin plaza parking,
Piso fantástico ático reformado en eixample esquerra en Barcelona,650.000 €,102,2,2,,
Piso  muy tranquilo - sol directo en Esquerra Baixa de l´Eixample Barcelona,198.000 €,56,3,1,,
Piso excelente piso en venta en l'antiga esquerra de eixample. en Barcelona,460.000 €,116,3,2,Sin plaza parking,
Piso  exterior en Bon Pastor Barcelona,160.000 €,78,3,1,,
Piso esplédido piso reformado en pleno barrio gótico en Barcelona,740.000 €,187,4,2,,
Piso excelente piso en nova esquera de l'eixample en Barcelona,530.000 €,112,3,2,,
Piso en El Coll Barcelona,250.000 €,264,4,2,,
Piso obra nueva en Horta Barcelona,290.000 €,80,2,1,Plaza parking ,
Piso en Esquerra Alta de l´Eixample Barcelona,790.000 €,148,3,2,,
"Piso  con 4 habitaciones amueblado con ascensor, calefacción y aire acondicionado en Barcelona",990.000 €,174,4,3,,
Piso  exclusivo en Tres Torres en Tres Torres Barcelona,2.300.000 €,355,6,5,,
Piso en Guinardó Barcelona,263.000 €,86,3,2,,
"Estudio espectacular piso venta de 275m2 en el distrito de ciutat vella, con 4 habitaciones, 3 baños y un precioso salón comedor con acceso directo a un patio privado. en Barcelona",1.350.000 €,232,4,3,,
Piso obra nueva 2021 en Camp de l´Arpa Barcelona,265.000 €,57,2,1,Sin plaza parking,
Piso histórica propiedad modernista en gràcia en Vila de Gràcia Barcelona,1.815.000 €,586,3,4,Plaza parking ,
Masía 60m en carrer valencia obra nueva en Sagrada Família Barcelona,400.000 €,60,6.667,,,
Piso  en Sagrada Família en Sagrada Família Barcelona,480.000 €,124,4,2,,
Apartamento en Carmel Barcelona,182.000 €,75,2,1,Sin plaza parking,
Piso en Sagrada Família Barcelona,110.000 €,31,1,1,Sin plaza parking,
Piso estupendo piso en el corazón de galvany en Sant Gervasi - Galvany Barcelona,960.000 €,110,5,2,,
Piso  reformado en venta en calle calvet en Sant Gervasi - Galvany Barcelona,1.250.000 €,150,3,3,,
Piso  exterior totalmente amueblado sin ascensor en Barcelona,395.000 €,85,2,1,,
Piso todo exterior en Montbau Barcelona,179.000 €,60,2,1,Sin plaza parking,
Piso  con 11 habitaciones con ascensor en Gòtic Barcelona,1.850.000 €,536,11,6,,
Piso en Guinardó Barcelona,239.500 €,62,2,1,Sin plaza parking,
Piso  con ascensor en La Salut Barcelona,345.000 €,74,4.662,,Sin plaza parking,
Piso en Hostafrancs Barcelona,288.000 €,68,3,1,Sin plaza parking,
