name,net,window_end,window_start,mission,pad,location,orbit,status.name,mission_type,description
Long March 5B | Tianhe-1,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,Tianhe-1,Wenchang,"Wenchang Satellite Launch Center, People's Republic of China",LEO,TBD,Human Exploration,"Tianhe (which translates as ""Heavenly Harmony"") is the core module and backbone of the Chinese space station, designed to provide the main living quarters and control centre for the station crew."
Ariane 5 ECA | SES-17,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
Long March 4C | FengYun-3F,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Unknown Pad,Unknown Location,,TBD,,no information
Soyuz STB/Fregat | 2 x Galileo,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Ariane Launch Area 4,"Kourou, French Guiana",,TBD,,no information
Falcon Heavy | ViaSat-3 series satellite,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,ViaSat-3,Launch Complex 39A,"Kennedy Space Center, FL, USA",GTO,TBD,Communications,"The ViaSat-3 is a series of three Ka-band satellites is expected to provide vastly superior capabilities in terms of service speed and flexibility for a satellite platform. Each ViaSat-3 class satellite is expected to deliver more than 1-Terabit per second of network capacity, and to leverage high levels of flexibility to dynamically direct capacity to where customers are located."
Long March ? | Fengyun-4C,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Unknown Pad,Unknown Location,,TBD,,no information
H-IIA 202 | ALOS-4,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Unknown Pad,"Tanegashima, Japan",,TBD,,no information
Vega-C | LARES-2 (Maiden flight),2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Soyuz 2.1b/Fregat | Glonass-K2,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,43/3 (43L),"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Long March 7  | Tianzhou-2,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Wenchang,"Wenchang Satellite Launch Center, People's Republic of China",,TBD,,no information
Soyuz 2.1b | Resurs-P No.4,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Falcon 9 Block 5 | O3b mPower 4-7,2021-01-01 00:00:00+00:00,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
PSLV  | Amazonia 1,2021-02-01 00:00:00+00:00,2021-02-01T00:00:00Z,2021-02-01T00:00:00Z,,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",,TBD,,no information
Antares 230+ | Cygnus CRS-2 NG-15,2021-02-01 00:00:00+00:00,2021-02-01T00:00:00Z,2021-02-01T00:00:00Z,,Launch Area 0 A,"Wallops Island, Virginia, USA",,TBD,,no information
Falcon Heavy | USSF-52,2021-03-01 00:00:00+00:00,2021-03-01T00:00:00Z,2021-03-01T00:00:00Z,,Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,,no information
Atlas V 421 | SBIRS GEO-5,2021-03-01 00:00:00+00:00,2021-03-01T00:00:00Z,2021-03-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Electron | RASR-3,2021-03-01 00:00:00+00:00,2021-03-01T00:00:00Z,2021-03-01T00:00:00Z,,Rocket Lab Launch Complex 1A,"Onenui Station, Mahia Peninsula, New Zealand",,TBD,,no information
Electron | RASR-4,2021-03-01 00:00:00+00:00,2021-03-01T00:00:00Z,2021-03-01T00:00:00Z,,Rocket Lab Launch Complex 1B,"Onenui Station, Mahia Peninsula, New Zealand",,TBD,,no information
OmegA | 2 x NationSat & others,2021-03-01 00:00:00+00:00,2021-03-01T00:00:00Z,2021-03-01T00:00:00Z,2 x NationSat & others,Launch Complex 39B,"Kennedy Space Center, FL, USA",,TBD,Test Flight,This is the maiden flight of the OmegA rocket developed by Northrop Grumman. This launch also carries small geostationary satellites called NationSat for Saturn Satellite Networks.
Falcon 9 Block 5 | Dragon CRS-2 SpX-22,2021-03-12 00:00:00+00:00,2021-03-12T00:00:00Z,2021-03-12T00:00:00Z,,Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,,no information
Falcon 9 Block 5 | SpX USCV-2 (NASA Crew Flight 2),2021-03-30 00:00:00+00:00,2021-03-30T00:00:00Z,2021-03-30T00:00:00Z,SpX USCV-2 (NASA Crew Flight 2),Launch Complex 39A,"Kennedy Space Center, FL, USA",LEO,TBD,Human Exploration,"SpaceX Crew-2 will be the second crewed operational flight of a Crew Dragon spacecraft, and the third overall crewed orbital flight. It will use the same Falcon 9 first stage as the Crew-1 mission and the same Crew Dragon capsule as the Demo-2 mission (Endeavour)."
Falcon 9 Block 5 | GPS III SV06,2021-04-01 00:00:00+00:00,2021-04-01T00:00:00Z,2021-04-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Atlas V N22 | CST-100 Starliner Crewed Flight Test,2021-04-01 00:00:00+00:00,2021-04-01T00:00:00Z,2021-04-01T00:00:00Z,CST-100 Starliner Crewed Flight Test (Crewed),Space Launch Complex 41,"Cape Canaveral, FL, USA",LEO,TBD,Test Flight,"This is the first crewed test flight of Starliner spacecraft. It will carry NASA astronauts Christopher Ferguson, Michael Fincke and Nicole Mann to the International Space Station."
Minotaur I | NROL-111,2021-04-01 00:00:00+00:00,2021-04-01T00:00:00Z,2021-04-01T00:00:00Z,NROL-111,Launch Area 0 B,"Wallops Island, Virginia, USA",,TBD,Government/Top Secret,Classified payload for the U.S. National Reconnaissance Office.
Falcon 9 Block 5 | X-Ray Polarimetry Explorer (IXPE),2021-04-01 00:00:00+00:00,2021-04-01T00:00:00Z,2021-04-01T00:00:00Z,,Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,,no information
Atlas V 401 | Landsat 9,2021-04-08 00:00:00+00:00,2021-04-08T00:00:00Z,2021-04-08T00:00:00Z,Landsat 9,Space Launch Complex 3E,"Vandenberg AFB, CA, USA",SSO,TBD,Earth Science,"Landsat 9 is a partnership between NASA and the U.S. Geological Survey to continue the Landsat programâ€™s critical role in monitoring, understanding and managing the land resources needed to sustain human life. Landsat 9, like Landsat 8, will have a higher imaging capacity than past Landsats, allowing more valuable data to be added to the Landsatâ€™s global land archive. Satellite will operaite in sun-synchronous orbit at an altitude of 705 km and has a mission lifetime of 5 years."
Proton-M | MLM Nauka,2021-05-01 00:00:00+00:00,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,MLM Nauka,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",LEO,TBD,Human Exploration,"Nauka (which means ""Science"" in Russian), also known as Multipurpose Laboratory Module (MLM), is a new module of the russian segment of the ISS."
"Soyuz 2.1b | Uzlovoy Module (UM) ""Prichal""",2021-05-01 00:00:00+00:00,2021-05-01T00:00:00Z,2021-05-01T00:00:00Z,"Uzlovoy Module (UM) ""Prichal""",31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",LEO,TBD,Human Exploration,"The UM (Uzlovoy Module) or NM (Node Module) is a node to be added to the Russian part of the ISS complex. It is also named Prichal.
UM will be delivered by a modified Progress space tug, called Progress-M-UM. The UM will be docked to the nadir port of the MLM (Nauka) module, providing four ports to mount additional modules and one docking port for cargo and crew spacecrafts."
Falcon 9 Block 5 | Dedicated SSO Rideshare Mission 2,2021-06-01 00:00:00+00:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
Soyuz 2.1a | Obzor-R No.1,2021-06-01 00:00:00+00:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,TBD,,no information
Falcon 9 Block 5 | Axiom Space Mission,2021-06-01 00:00:00+00:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,Axiom Space Mission,Launch Complex 39A,"Kennedy Space Center, FL, USA",LEO,TBD,Tourism,This is a Crew Dragon flight for a private company Axiom Space. The mission will carry a commander professionally trained by Axiom alongside three private astronauts to and from the International Space Station. This crew will stay aboard space station for at least eight days.
Falcon 9 Block 5 | Double Asteroid Redirection Test (DART),2021-06-01 00:00:00+00:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,Double Asteroid Redirection Test (DART),Space Launch Complex 4E,"Vandenberg AFB, CA, USA",Helio-N/A,TBD,Robotic Exploration,"Double Asteroid Redirection Test (DART) mission is the first-ever mission to demonstrate the capability to deflect an asteroid by colliding a spacecraft with it at high speed â€“ a technique known as a kinetic impactor.
DART is a planetary defense-driven test of one of the technologies for preventing the Earth impact of a hazardous asteroid: the kinetic impactor. DARTâ€™s primary objective is to demonstrate a kinetic impact on a small asteroid. The binary near-Earth asteroid (65803) Didymos is the target for DART. While Didymosâ€™ primary body is approximately 800 meters across, its secondary body (or â€œmoonletâ€) has a 150-meter size, which is more typical of the size of asteroids that could pose a more common hazard to Earth.
The DART spacecraft will achieve the kinetic impact by deliberately crashing itself into the moonlet at a speed of approximately 6 km/s, with the aid of an onboard camera and sophisticated autonomous navigation software. The collision will change the speed of the moonlet in its orbit around the main body by a fraction of one percent, enough to be measured using telescopes on Earth."
Ariane 5 ECA | Heinrich Hertz (H2Sat),2021-06-01 00:00:00+00:00,2021-06-01T00:00:00Z,2021-06-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
Atlas V N22 | USCV-3 (Starliner-1),2021-07-01 00:00:00+00:00,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,USCV-3 (Starliner-1),Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,Human Exploration,"USCV-3 (US Crew Vehicle-3), also known as Starliner-1, is the first operational crewed flight of the Boeing Starliner vehicle. It will take NASA astronauts Sunita Williams and Josh Cassada on what is planned as the first long duration mission of Starliner to International Space Station."
Falcon 9 Block 5 | Spaceflight GTO-C (Hakuto-R 1),2021-07-01 00:00:00+00:00,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Ariane 62 | OneWeb,2021-07-01 00:00:00+00:00,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,,Ariane Launch Area 4,"Kourou, French Guiana",,TBD,,no information
Ariane 5 ECA | Ovzon-3,2021-07-01 00:00:00+00:00,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
Electron | CAPSTONE,2021-07-01 00:00:00+00:00,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,CAPSTONE,Rocket Lab Launch Complex 2,"Wallops Island, Virginia, USA",,TBD,Planetary Science,"CAPSTONE (Cislunar Autonomous Positioning System Technology Operations and Navigation Experiment) is a 12-U cubesat mission to test operations in near rectiliniar halo orbit around the Moon, which is to be used for the Lunar Gateway space station. Mission will verify the near rectilinear halo orbit characteristics, spacecraft-to-spacecraft navigation services in that orbit, and provide valuable experience of small sat launch to the Moon."
Vulcan 522 | Peregrine lunar lander (Maiden flight),2021-07-01 00:00:00+00:00,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Ravn  | ASLON-45,2021-07-01 00:00:00+00:00,2021-07-01T00:00:00Z,2021-07-01T00:00:00Z,ASLON-45,Cecil Air and Space Port,Air launch to orbit,,TBD,Dedicated Rideshare,Agile Small Launch Operational Normalizer-45 (ASLON-45) is a USAF mission which will consist of multiple 3U and larger U.S. government cubesats to low Earth orbit (LEO) at a 45 degree inclination.
Soyuz 2.1a/Fregat-M | Meteor-M No.2-3,2021-08-01 00:00:00+00:00,2021-08-01T00:00:00Z,2021-08-01T00:00:00Z,,Cosmodrome Site 1S,"Vostochny Cosmodrome, Siberia, Russian Federation",,TBD,,no information
Atlas V 551 | USSF-12,2021-08-01 00:00:00+00:00,2021-08-01T00:00:00Z,2021-08-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Falcon 9 Block 5 | SWOT - Surface Water and Ocean Topography,2021-09-01 00:00:00+00:00,2022-04-01T00:00:00Z,2021-04-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
Vulcan 542 | Dream Chaser CRS 2 Flight 1,2021-09-01 00:00:00+00:00,2021-09-01T00:00:00Z,2021-09-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Soyuz 2.1b/Fregat-M | Luna 25,2021-10-01 00:00:00+00:00,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z,,31/6,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Ariane 64 | ViaSat-3 series satellite,2021-10-01 00:00:00+00:00,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
Atlas V 401 | Lucy,2021-10-01 00:00:00+00:00,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Ariane 62 | 2 x Galileo,2021-10-01 00:00:00+00:00,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z,,Ariane Launch Area 4,"Kourou, French Guiana",,TBD,,no information
Ariane 62 | CSO 3,2021-10-01 00:00:00+00:00,2021-10-01T00:00:00Z,2021-10-01T00:00:00Z,CSO 3,Ariane Launch Area 4,"Kourou, French Guiana",SSO,TBD,Government/Top Secret,"The CSO 3 (Composante Spatiale Optique 3 satellite is the third of three new-generation high-resolution optical imaging satellites for the French military, replacing the Helios 2 spy satellite series."
Falcon 9 Block 5 | Nova-C lunar lander,2021-10-11 00:00:00+00:00,2021-10-11T00:00:00Z,2021-10-11T00:00:00Z,,Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,,no information
Ariane 5 ECA | James Webb Space Telescope (JWST),2021-10-31 00:00:00+00:00,2021-10-31T00:00:00Z,2021-10-31T00:00:00Z,,Ariane Launch Area 3,"Kourou, French Guiana",,TBD,,no information
SLS Block 1 | Artemis-1,2021-11-01 00:00:00+00:00,2021-11-01T00:00:00Z,2021-11-01T00:00:00Z,Artemis-1,Launch Complex 39B,"Kennedy Space Center, FL, USA",LO,TBD,Human Exploration,Artemis-1 (previously Exploration Mission 1) is the first flight on Space Launch System and the second flight of Orion crew spacecraft. Mission is planned to be an uncrewed circumlunar flight.
Falcon 9 Block 5 | Dedicated SSO Rideshare Mission 3,2021-12-01 00:00:00+00:00,2021-12-01T00:00:00Z,2021-12-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
Angara 1.2 | KOMPSAT-6,2021-12-01 00:00:00+00:00,2021-12-01T00:00:00Z,2021-12-01T00:00:00Z,,Unknown Pad,"Plesetsk Cosmodrome, Russian Federation",,TBD,,no information
Atlas V 541 | GOES-T,2021-12-01 00:00:00+00:00,2021-12-01T00:00:00Z,2021-12-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Vulcan 542 | Dream Chaser CRS 2 Flight 2,2021-12-01 00:00:00+00:00,2021-12-01T00:00:00Z,2021-12-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Vega-C | KOMPSAT-7,2021-12-01 00:00:00+00:00,2021-12-01T00:00:00Z,2021-12-01T00:00:00Z,KOMPSAT-7,Ariane Launch Area 1,"Kourou, French Guiana",SSO,TBD,Earth Science,KOMPSAT-7 is the follow-up model of KOMPSAT-3A whose mission is to provide high-resolution satellite images to satisfy South-Koreaâ€™s governmental and institutional needs.
H-III  | Inmarsat satellite,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Unknown Pad,"Tanegashima, Japan",,TBD,,no information
Atlas V 401 | JPSS 2 (Joint Polar Satellite System spacecraft No. 2),2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,JPSS 2 (Joint Polar Satellite System spacecraft No. 2),Space Launch Complex 3E,"Vandenberg AFB, CA, USA",SSO,TBD,Earth Science,"JPSS is a collaborative program between NOAA and NASA. JPSS-2 is one of five satellites that will comprise the JPSS constellation. These spacecraft gather global measurements of atmospheric, terrestrial and oceanic conditions, including sea and land surface temperatures, vegetation, clouds, rainfall, snow and ice cover, fire locations and smoke plumes, atmospheric temperature, water vapor and ozone."
Proton-M/Blok DM-03 | Elektro-L No.4,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Unknown Pad,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Atlas V 421 | SBIRS GEO-6,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
GSLV Mk II | NISAR (NASA-ISRO Synthetic Aperture Radar),2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Unknown Pad,"Sriharikota, Republic of India",,TBD,,no information
Soyuz STB/Fregat | Euclid,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Soyuz Launch Complex,"Kourou, French Guiana",,TBD,,no information
Falcon 9 Block 5 | Nilesat-301,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
PSLV-XL | Aditya-L1,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,Aditya-L1,Satish Dhawan Space Centre First Launch Pad,"Sriharikota, Republic of India",L1-point,TBD,Heliophysics,"Aditya L1 is an Indian solar observation satellite to be placed at the Sun-Earth Lagrangian point L1.
The major scientific objectives of the mission are to achieve a fundamental understanding of the physical processes that heat the solar corona, accelerate the solar wind and produce Coronal Mass Ejections (CMEs).
Originally the mission design started as a small LEO satellite carrying only a coronagraph as a payload. In order to get the best science from the Sun, continuous viewing of the Sun is preferred. A Satellite placed in the halo orbit around the L1 Lagrangian point of the Sun-Earth system has the major advantage of continuously viewing the Sun without any occultation/ eclipses."
Falcon 9 Block 5 | Intelsat 40e,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Ariane 64 | GO-1,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Ariane Launch Area 4,"Kourou, French Guiana",,TBD,,no information
Electron | Archinaut One,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,Archinaut One,Rocket Lab Launch Complex 1A,"Onenui Station, Mahia Peninsula, New Zealand",,TBD,Unknown,"Archinaut One is a mission to demonstrate the ability of small spacecraft to manufacture and assemble spacecraft components in low-Earth orbit. Once itâ€™s positioned in low-Earth orbit, the spacecraft will 3D-print two beams that extend 32 feet (10 meters) out from each side of the spacecraft. As manufacturing progresses, each beam will unfurl two solar arrays that generate as much as five times more power than traditional solar panels on spacecraft of similar size."
Vega | NAOS,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Vega | THEOS-2,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Vega-C | Space Rider,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Epsilon  | JV-LOTUSat-2,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Mu Center,"Uchinoura Space Center, Japan",,TBD,,no information
Atlas V 551 | Silent Barker,2022-01-01 00:00:00+00:00,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
H-III 24 | HTV-X1,2022-02-01 00:00:00+00:00,2022-02-01T00:00:00Z,2022-02-01T00:00:00Z,,Unknown Pad,"Tanegashima, Japan",,TBD,,no information
Vulcan | USSF-106,2022-03-01 00:00:00+00:00,2022-03-01T00:00:00Z,2022-03-01T00:00:00Z,USSF-106,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,Government/Top Secret,USSF-106 is a mission for the United States Space Force.
Vulcan | USSF-51,2022-03-01 00:00:00+00:00,2022-03-01T00:00:00Z,2022-03-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Vega | Proba-3,2022-06-01 00:00:00+00:00,2022-06-01T00:00:00Z,2022-06-01T00:00:00Z,,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,,no information
Ariane 64 | JUICE (JUpiter ICy moons Explorer),2022-06-01 00:00:00+00:00,2022-06-01T00:00:00Z,2022-06-01T00:00:00Z,JUICE (JUpiter ICy moons Explorer),Ariane Launch Area 3,"Kourou, French Guiana",Helio-N/A,TBD,Planetary Science,"JUICE is an ESA mission to study some of the Jupiter's moons: Ganymede, Callisto and Europa."
Atlas V | SES-20 & SES-21,2022-06-01 00:00:00+00:00,2022-06-01T00:00:00Z,2022-06-01T00:00:00Z,,Space Launch Complex 41,"Cape Canaveral, FL, USA",,TBD,,no information
Falcon 9 Block 5 | SES-18 & SES-19,2022-06-01 00:00:00+00:00,2022-06-01T00:00:00Z,2022-06-01T00:00:00Z,SES-18 & SES-19,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,Communications,SES-18 & SES-19 are two communications satellites built by Northrop Grumman.
Soyuz STA/Fregat | EarthCARE,2022-06-01 00:00:00+00:00,2022-06-01T00:00:00Z,2022-06-01T00:00:00Z,EarthCARE,Soyuz Launch Complex,"Kourou, French Guiana",,TBD,Earth Science,EarthCARE (Earth Cloud Aerosol and Radiation Explorer) is a joint mission of ESA and JAXA. The main goal of the mission is the observation and characterization of clouds and aerosols as well as measuring the reflected solar radiation and the infrared radiation emitted from Earth's surface and atmosphere.
Delta IV Heavy | NROL-91,2022-07-01 00:00:00+00:00,2022-07-01T00:00:00Z,2022-07-01T00:00:00Z,,Space Launch Complex 6,"Vandenberg AFB, CA, USA",,TBD,,no information
"Falcon Heavy | Psyche, EscaPADE and Janus",2022-07-01 00:00:00+00:00,2022-07-01T00:00:00Z,2022-07-01T00:00:00Z,"Psyche, EscaPADE and Janus",Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,Planetary Science,"Psyche is a NASA interplanetary mission to visit the main belt asteroid of the same name, 16 Psyche. Spacecraft will take 4 years and one Mars flyby to reach the asteroid, which is of particular interest due to being comprised mostly of iron and nickel. Psyche is theorized to be a remnant of an early planet's core, and may offer insights into how solar system formed and evolved. The mission is led by Arizona State University, with NASA JPL being responsible for mission management and operations. This launch also includes two secondary payloads: Escape and Plasma Acceleration and Dynamics Explorers (EscaPADE), which will study the Martian atmosphere, and Janus, which will study binary asteroids."
Falcon 9 Block 5 | KPLO (Korean Pathfinder Lunar Orbiter),2022-07-01 00:00:00+00:00,2022-07-01T00:00:00Z,2022-07-01T00:00:00Z,,Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,,no information
Proton-M/Briz-M | ExoMars 2022 Kazachok surface platform & Rosalind Franklin rover,2022-08-01 00:00:00+00:00,2022-08-01T00:00:00Z,2022-08-01T00:00:00Z,ExoMars 2022 Surface Platform & Rosalind Franklin Rover,200/39 (200L),"Baikonur Cosmodrome, Republic of Kazakhstan",Helio-N/A,TBD,Robotic Exploration,"ExoMars 2022 is a second mission of two-part astrobiology project to search for evidence of life on Mars, a joint mission of the European Space Agency and the Russian space agency Roscosmos that consists out of surface module with a rover onboard. The primary objective is to land the rover at a site with high potential for finding well-preserved organic material, particularly from the very early history of the planet. The rover is expected to travel several kilometers during its mission.
The European rover will be the first mission to combine the capability to move across the surface and to study Mars at depth. It will collect samples with a drill down to a depth of 2 m and analyze them with next-generation instruments in an onboard laboratory. Underground samples are more likely to include biomarkers, since the tenuous martian atmosphere offers little protection from radiation and photochemistry at the surface.
While the rover will drive away from the surface platform to perform scientific investigations within several kilometers of the landing site, the Russian-made platform will remain stationary and will investigate the local surface environment for its normal mission lifetime of one Earth year. The main science priorities for the platform are context imaging of the landing site, long-term climate monitoring, and atmospheric investigations. Sensors and instruments will also study the subsurface water distribution at the landing site, investigate the exchange of volatiles between the atmosphere and the surface, monitor the radiation environment and compare it with measurements made with the radiation dosimeter on the Trace Gas Orbiter, and carry out geophysical investigations of the planet's internal structure."
SLS Block 1 | Artemis-2,2022-09-01 00:00:00+00:00,2022-09-01T00:00:00Z,2022-09-01T00:00:00Z,,Launch Complex 39B,"Kennedy Space Center, FL, USA",,TBD,,no information
Falcon Heavy | USSF-67,2022-09-01 00:00:00+00:00,2022-09-01T00:00:00Z,2022-09-01T00:00:00Z,USSF-67,Launch Complex 39A,"Kennedy Space Center, FL, USA",,TBD,Government/Top Secret,USSF-67 is a mission for the United States Space Force.
Vega | Biomass,2022-10-01 00:00:00+00:00,2022-10-01T00:00:00Z,2022-10-01T00:00:00Z,Biomass,Ariane Launch Area 1,"Kourou, French Guiana",,TBD,Earth Science,"Biomass is an Earth observation satellite launched as a part of ESA Earth Explorer program. It will be using a P-band synthetic aperture radar to collect data on the height of forests, allowing scientists to determine the amount of biomass and carbon stored there."
Falcon 9 Block 5 | Arctic Satellite Broadband Mission,2022-10-01 00:00:00+00:00,2022-10-01T00:00:00Z,2022-10-01T00:00:00Z,,Space Launch Complex 4E,"Vandenberg AFB, CA, USA",,TBD,,no information
"Falcon 9 Block 5 | PACE (Plankton, Aerosol, Cloud, ocean Ecosystem)",2022-12-01 00:00:00+00:00,2022-12-01T00:00:00Z,2022-12-01T00:00:00Z,"PACE (Plankton, Aerosol, Cloud, ocean Ecosystem)",Space Launch Complex 40,"Cape Canaveral, FL, USA",,TBD,Earth Science,"PACE (Plankton, Aerosol, Cloud, ocean Ecosystem) is a NASA Earth observation satellite mission. It will make global ocean color measurements to provide extended data records on ocean ecology and global biogeochemistry (e.g., carbon cycle) along with polarimetry measurements to provide extended data records on clouds and aerosols."
Proton-M/Blok DM-03 | Elektro-L No.5,2022-12-01 00:00:00+00:00,2022-12-01T00:00:00Z,2022-12-01T00:00:00Z,,Unknown Pad,"Baikonur Cosmodrome, Republic of Kazakhstan",,TBD,,no information
Delta IV Heavy | NROL-68,2023-01-01 00:00:00+00:00,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,,Space Launch Complex 37B,"Cape Canaveral, FL, USA",,TBD,,no information
Vega | FLEX,2023-01-01 00:00:00+00:00,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z,FLEX,Ariane Launch Area 1,"Kourou, French Guiana",SSO,TBD,Earth Science,The Fluorescence Explorer (FLEX) satellite is a part of ESA's Earth Explorer program. The satellite will map vegetation fluorescence to quantify photosynthetic activity.
