	CODI_VIA	TIPUS_VIA	NOM_OFICIAL	NOM_CURT	DESCRIPCION	FECHA_APROBACION	NOMBRES_ANTERIORES	DISTRICTOS
895	92971	C	Carrer de la Costa Daurada	Costa Daurada	Manuel Felipe de Craywinckel i de Pechmann (1752 - 1815). Primer propietario de los terrenos de 15 mujadas y una mundina que corresponde a la heredad Frare Negre. Serían sucesores Manuel Lluís de Craywinckel i Craywinckel, casado con Salustiana Fernández, y Josep Joaquim Craywinckel i Craywinckel, casado con María del Sagrario Hurtado i Palomeque (Toledo 1791 - 1866).	 (1863)		SARRIÀ-SANT GERVASI (05)
896	93001	C	Carrer de Costa Pacheco	Costa Pacheco	Construido en 1875 por la Sociedad Catalana General de Crédito, encima del solar que había ocupado el Castell Nou.		Crédito	CIUTAT VELLA (01)
897	93103	C	Carrer de Costa Rica	Costa Rica	Francesc Crehuet i Pujolà, propietario de los terrenos que compró en 1787. Lo sucedió su hijo Antoni Crehuet i Barceló, y a éste, en 1876, su hermano Francesc Crehuet i Barceló.			HORTA-GUINARDÓ (07)
898	93205	C	Carrer dels Cotoners	Cotoners	El nombre de Cremat Gran y Cremat Xic se remonta a unos hechos transcurridos en el siglo XV, en el que se prendió fuego a un horno de la calle llamada entonces d'En Jaume des Fonts. El pueblo con su recuerdo le ha dado al nombre de la calle una perdurabilidad de siglos. Esta calle también fue conocida con el nombre de la Sal, por los comerciantes y trajinantes de sal establecidos en este lugar.	30/12/2002 ( )	Sal, abans de 1500; Jaume des Fonts, abans de 1390	CIUTAT VELLA (01)
899	93307	C	Carrer de la Mare de Déu de Núria	Mare Déu de Núria	Debe su nombre a Cretes, municipio del Matarraña. Calle situada en el barrio del Bon Pastor, donde encontramos la mayoría de viales dedicados a lugares y pueblos de Cataluña.	10/02/1971 ( )	Cretas	SANT ANDREU (09)
900	93409	C	Carrer de Craywinckel	Craywinckel	Louis Antoine Berton des Balbes (Aviñón 1717 - Madrid 1796). Duque de Crillon y de Maó. Militar francés. Pasó al servicio de Carlos III de España. Conquistó la isla de Menorca, de los ingleses (1782). Capitán general de los reinos de Valencia y de Murcia (1782).	19/11/1929 ( )	Pasteur; Padilla; Alpens	SANTS-MONTJUÏC (03)
901	93500	Ptge	Passatge del Crèdit	Ptge Crèdit	Debe su nombre al crisantemo, planta perenne de abundantes flores. Calle que pertenece a un grupo de viales dedicados a nombres de plantas y flores: Begònia, Hortènsia, Gessamí, Dàlia, Lotus.	30/12/1953 ( )	Crisantemo	SANTS-MONTJUÏC (03)
902	93602	C	Carrer de Crehuet	Crehuet	Delante de la catedral barcelonesa, cuya fachada fue construida a finales del siglo XIX por el arquitecto August Font. La plaza data de los años 1421-1422, cuando fue derribada la vieja casa del decano y otras de los canónigos, junto con un segmento de la muralla romana que las apuntalaba.	20/12/1979 ( )	Pl. de Cristo Rey	CIUTAT VELLA (01)
903	93704	C	Carrer Cremat Gran i Xic	Cremat Gran i Xic	Primer marqués de Castel-Rodrigo (Lisboa 1538 - Madrid 1613). Político portugués al servicio de Castilla, principal negociador para que Portugal pasara a dominio de Felipe II. Fue virrey de Portugal (1600-1603, 1608-1612).	19/09/1929 ( )	Vilanova (part del 3r tram); Lletra R (Pla Cerdà)	SANT MARTÍ (10)
904	93850	C	Carrer de Cretes	Cretes	Empresa de productos químicos creada en Sants en 1817 por François Cros Dupuy (Montpellier 1768 - Barcelona 1831).			SANTS-MONTJUÏC (03)
905	94004	C	Carrer de Crillon	Crillon	Debe su nombre a Croya, ciudad de Albania, capital de la región del mismo nombre que perteneció a Cataluña de 1451 a 1459, en que pasó a dominio veneciano hasta 1468, en que fue ocupada por los turcos.	27/07/1960 ( )	Croya	SANT MARTÍ (10)
906	94106	C	Carrer del Crisantem	Crisantem	Por la cruz de término que había en Sarrià montada sobre un padrón.	12/06/1980 ( )	Cruz, 09/04/1940; Pedro de la Cruz, any 1939; Esplugas, 04/02/1931; Cruz de Padrón, 18/05/1927; Esplugas (Ajuntament de Sarrià), any 1922; Cruz (part ampla, s'uneixen); San José (part estreta, s'uneixen)	SARRIÀ-SANT GERVASI (05)
907	94208	Pla	Pla de la Seu	Pla Seu	Por la cruz que había en el antiguo camino que conducía a las canteras de Montjuïc, camino convertido en la actual calle.		Cruz de los Canteros	SANTS-MONTJUÏC (03)
908	94300	C	Carrer de Cristóbal de Moura	Cristóbal de Moura	Cruz de término. Mencionada en el siglo XIV. En el siglo XV encontramos la cruz en el Coll de la Creu, donde estaban colgados los infelices condenados. En el año 1573, por encontrarse en mal estado, construye una nueva Pere Ferré, por mandato de los consejeros de la ciudad. En el año 1823 fue derribada y más tarde fue colocada una procedente del cementerio, cuando fue derribado, de la iglesia de Santa María del Pi.		Cruz Cubierta; Cº de Madrid; Cº Real; Cº Ant. de la Cruz Cubierta; Cº del Portal de San Antonio; Cº Ant. de San Antonio	SANTS-MONTJUÏC (03)
909	94401	C	Carrer de Cros	Cros		22/10/2007 ( )	Quarter de Simancas, 12/06/1980; Cuartel de Simancas, 31/10/1955; Via Favència (un tram)	NOU BARRIS (08)
910	94503	C	Carrer de Croia	Croia	Antiguo topónimo correspondiente al lugar del cruce de los cuatro caminos: camino de Bellesguard, camino antiguo de Sarrià, calle del Raval -que conducía al antiguo núcleo urbano de Sant Gervasi- y camino de Can Canals -que conducía, entre otras propiedades, a la finca Pedralbes que fue propiedad en el siglo XIX de la marquesa de Moragas. La calle de Quatre Camins pasaba junto a la finca de Trinitat de Fontcuberta y Carmen de Dalmases.	 (Antes de 1895)	Canals (s'hi uneix)	SARRIÀ-SANT GERVASI (05)
911	94605	C	Carrer del Pedró de la Creu	Pedró de la Creu	Estado de América Central en las Antillas. El tratado de París de 1898 desvinculó Cuba del reino de España.	17/03/1908 ( )	Atenas; Santa María	SANT ANDREU (09)
912	94707	C	Carrer de la Creu dels Molers	Creu dels Molers	Debe su nombre a Cubelles, municipio del Garraf. En recuerdo de que esta villa pidió en el año 1417 la unión a Barcelona mediante la fórmula del <i>carreratge</i>, que consideraba a la ciudad como una calle de Barcelona, pudiendo disfrutar así sus habitantes de los mismos derechos y privilegios que los de la capital.	30/12/1953 ( )	Cubellas	NOU BARRIS (08)
913	94809	C	Carrer de la Creu Coberta	Creu Coberta	Se dice que en la edad media se llamaba calle de la Figuera Cucurella, que existió en este lugar antes de ser urbanizada.			CIUTAT VELLA (01)
914	94900	C	Carrer de Simancas	Simancas	Por la calle del mismo nombre.	 ( )		CIUTAT VELLA (01)
915	95007	C	Carrer dels Quatre Camins	Quatre Camins	Debe su nombre a Cuenca, ciudad y provincia de Castilla-La Mancha.	07/07/1942 ( )	Cuenca; Anselmo Lorenzo; Luchana (un tram); Cardoner (un tram)	SANT MARTÍ (10)
916	95109	C	Carrer de Cuba	Cuba	Por la subida.		Cuesta; Fernando Puig	SARRIÀ-SANT GERVASI (05)
917	95200	C	Carrer de Cubelles	Cubelles	Por la pendiente en la cima del Putget.	03/07/1989 ( )	Costa, 12/06/1980; Cuesta, 19/05/1903	SARRIÀ-SANT GERVASI (05)
918	95302	C	Carrer de Cucurulla	Cucurulla	Pertenece al barrio del Rectoret, donde muchos de los nombres de los viales fueron puestos por los vecinos.	20/12/1979 ( )		SARRIÀ-SANT GERVASI (05)
919	95404	Pl	Plaça de Cucurulla	Pl Cucurulla	Debe su nombre al brezo, el arbusto. La madera de algunas especies de brezo es utilizada para la fabricación artesanal de pipas.	20/12/1979 ( )		SARRIÀ-SANT GERVASI (05)
920	95506	C	Carrer de Conca	Conca	Por el primer obrador de peleteros (zurradores y trabajadores de cueros), establecido en Sant Martí de Provençals.		Curtidores; Pellaires	SANT MARTÍ (10)
921	95608	C	Carrer de la Costa	Costa	Calle situada entre las calles Moianès y Gavà. En 1834, Joan Bas, maestro sastre, vendió unos terrenos en este lugar a Lluís Cuyàs i Closas, que murió en 1835. Su hijo Pau Cuyàs Burés (1784 - 1866), payés, consolidó el antropotopónimo de la calle. Fue heredero Lluís Cuyàs i Estaper.		Dalmases	SANTS-MONTJUÏC (03)
922	95700	Ptge	Passatge de la Costa del Putxet	Ptge Costa Putxet	Debe su nombre a Cuzco, ciudad del Perú. Calle situada en el polígono industrial del Bon Pastor, donde los viales están dedicados a pueblos y ciudades de América latina.	12/09/1973 ( )		SANT ANDREU (09)
923	95721	Csta	Costa de les Perdius	Csta Perdius	Las islas en la costa mediterránea del Magreb (Rey, Isabel II y Congreso) de soberanía española. Nombre de calle aprobada conjuntamente con la de Alhucemas.	07/07/1942 ( )	Lletra B (Prosperitat)	NOU BARRIS (08)
924	95732	Csta	Costa del Bruc	Csta Bruc	Ruperto Chapí y Lorente (Villena, Alto Vinalopó 1851 - Madrid 1909). Compositor de ópera y zarzuela. Fundador de la Sociedad de Autores, Compositores y Editores de Música.	19/05/1914 ( )	Combinación	HORTA-GUINARDÓ (07)
925	95801	C	Carrer dels Pellaires	Pellaires	Por la calle del mismo nombre.	 ( )		HORTA-GUINARDÓ (07)
926	96000	C	Carrer de Cuyàs	Cuyàs	Debe su nombre a Chile, estado sudamericano.	29/01/1925 ( )	Chile	LES CORTS (04)
927	96021	C	Carrer de Cusco	Cusco	Adoptó el nombre de la próxima avenida de Chile.	26/09/1941 ( )	Collblanch	LES CORTS (04)
928	96101	C	Carrer de Las Chafarinas	Las Chafarinas	Debe su nombre a Chipre, isla del Mediterráneo oriental, al sur de la península de Anatolia.	 ( )		SANT MARTÍ (10)
929	96203	C	Carrer de Chapí	Chapí	Fryderik Franciszeck Chopin Krzyzanowska (Zelazowa-Wola, Varsovia 1810 - París 1849). Compositor y pianista polaco.	29/04/1959 ( )	Compositor Chopin	SANTS-MONTJUÏC (03)
930	96305	Ptge	Passatge de Chapí	Ptge Chapí	En el polígono industrial del Consorcio de la Zona Franca de Barcelona, las calles designadas con letras siguen la dirección norte-sur y las designadas con números la dirección este-oeste.	16/02/1968 ( )		SANTS-MONTJUÏC (03)
931	96407	Av	Avinguda de Xile	Av Xile	Proviene de los cuchilleros que tenían instalado su comercio en la calle. Nombre anterior al siglo XVI. En una casa de esta calle murió en 1702 el taumaturgo San José Oriol.		Drapers o Draperia; Cofrers	CIUTAT VELLA (01)
932	96509	Ptge	Passatge de Xile	Ptge Xile	Debe su nombre a la dalia, la flor. En el año 1953 se dieron nombres de flores a las calles del lugar sin nomenclatura.	30/12/1953 ( )		SANTS-MONTJUÏC (03)
933	96600	C	Carrer de Xipre	Xipre	Debe su nombre a Dalmacia, región del oeste de Croacia. Alfonso IV de Cataluña-Aragón aspiró a dominar Dalmacia para establecer vínculos de soberanía sobre los señores de esta zona. No es título del rey de España a pesar de lo que se decía en un documento municipal.	07/03/1939 ( )	Dalmacia; Buena Salud, 1931; Dalmacia; Buena Salud (Ajuntament de Sarrià); San Rafael, abans de 1888	SARRIÀ-SANT GERVASI (05)
934	96702	C	Carrer de Chopin	Chopin	(Empordà, siglos XII-XIII). Caballero al servicio de Pedro I y de Jaime I. Luchó en la batalla de Muret (1213). Establecido en Tolosa, intervino en las luchas contra los croatas de Simón de Monfort. Se le atribuye el papel de maestre de campo en la batalla de las Navas de Tolosa (1212) aunque parece que no participó. El nombre de la calle fue aprobado a petición de Rafael Torrent i Garrigolas.		Dalmacio Creixells	HORTA-GUINARDÓ (07)
935	96780	C	Carrer D Zona Franca	D Zona Franca	Josep Maria Vallès i Ribot (Barcelona 1849 - 1911). Abogado y político republicano federalista. Diputado en las Cortes constituyentes (1873). Presidente del Centro Federalista. Fundador de los periódicos <i>El Federalista</i>, <i>La Voz de Cataluña</i> y <i>La Región Catalana</i>.	20/12/1979 ( )	Dalmacio de Mur; Vallès y Ribot, 29/03/1922; Santa Lucía	SANT ANDREU (09)
936	96804	C	Carrer de la Dagueria	Dagueria	Familia catalana, propietaria de extensas tierras del lugar. Destacamos Carmen de Dalmases i d'Olivart, de Ferrer, Corbera, Terré, Cordelles i Gomar (Barcelona 1842 - 1920). Casada con Trinitat de Foncuberta i de Perramon en 1863. En el nomenclátor del año 1980 se dedicó la calle a Pau Ignasi de Dalmases i Ros (Barcelona 1670 - 1718). Doctor en Arte y Filosofía, erudito y diplomático.	16/08/1927 ( )	Cuyàs (un tram a Sarrià), abans de 1847	SARRIÀ-SANT GERVASI (05)
937	96906	C	Carrer de la Dàlia	Dàlia	Josepa Dalmau i Rosell, propietaria, hija de Josep Dalmau i Prats, terciopelero, y de Teresa Rosell Codinach. Casada con Antoni Daunas i Serra, tejedor de velos, adquirieron los terrenos, en 1855, por venta perpetua a su favor de Josep Fillol i Fita, farmacéutico. En 1875, su hijo heredero Evarist Daunas i Dalmau y hermanos, vendieron los terrenos a Emili Cros i Isaac.			SANTS-MONTJUÏC (03)
938	97002	C	Carrer de Dalmàcia	Dalmàcia	Probablemente por alojarse en esta calle damas del palacio de los Virreyes construido en el Pla de Palau. Víctor Balaguer cree que se le puso el nombre en sentido satírico.		Damas	CIUTAT VELLA (01)
939	97104	C	Carrer de Dalmau de Creixell	Dalmau de Creixell	(Valencia, Horta ? siglo XV - Santo Domingo de la Calzada, Castilla 1540). Escultor imaginero renacentista, hijo y discípulo de Pau Forment.	16/05/1939 ( )	Damián Forment; Casa Móra	GRÀCIA (06)
940	97206	C	Carrer de Vallès i Ribot	Vallès i Ribot	Dante Alighieri (Alaghieri) i Abati (Florencia 1265 - Ravenna 1321). Poeta italiano de renombre universal.	 ( )		SANTS-MONTJUÏC (03)
941	97308	C	Carrer de Dalmases	Dalmases	Por la misma dedicación que la plaza. La forma Dante es un diminutivo del nombre Durante. Dant, en catalán.	19/08/1947 ( )	Dante; Don Juan	HORTA-GUINARDÓ (07)
942	97400	C	Carrer de Dalmau	Dalmau	Debe su nombre al Danubio, el río de la Europa central.	22/11/1976 ( )	Danubio	LES CORTS (04)
943	97501	C	Carrer de les Dames	Dames	Debe su nombre a la danza. Calle situada en el barrio de Montbau, que forma parte de un grupo de viales con nombres afines.	15/04/1961 ( )	Danza	HORTA-GUINARDÓ (07)
944	97603	C	Carrer de Damià Forment	Damià Forment	Luis Daoíz y Torres (Sevilla 1767 - Madrid 1808). Pedro Velarde y Santiyàn (Muriedas, Santander 1779 - Madrid 1808). Héroes militares del 2 de Mayo.		Daoíz y Velarde; Santo Tomás, 05/01/1905	SANTS-MONTJUÏC (03)
945	97705	Pl	Plaça de Dante	Pl Dante	Debe su nombre a Darnius, municipio del Alt Empordà. Calle que pertenece al grupo de casas Ramon Albó, donde los viales están dedicados a pueblos y lugares de Cataluña.	29/05/1945 ( )	Núm. 10	NOU BARRIS (08)
946	97807	C	Carrer de Dante Alighieri	Dante Alighieri	Debe su nombre a Das, municipio de la Baixa Cerdanya, al pie de la Tosa d'Alp.	29/01/1982 ( )		NOU BARRIS (08)
947	97829	C	Carrer del Danubi	Danubi	"Joan Francesc Bahí i Fontseca (Blanes, Selva 1775 - Barcelona 1841). Doctor en Medicina y botánico. Presidente de la Academia de Ciencias Naturales y Artes (1833). Director del jardín botánico de Barcelona. En 1815 escribió <i>Memorias de agricultura y artes</i>, donde daba consejos a la administración central sobre los procedimientos a utilizar en la agricultura en general en lo que se refiere a los barbechos y abonos. Fue subinspector de medicina y médico honorario del rey de España. Su nombre ya fue propuesto en el siglo XIX sin éxito, ya que no se aprobó hasta 1929. En un documento municipal de 1930, se considera dedicada la calle al ""Decano presidente del Colegio de Abogados (?) de esta ciudad a principios de la ocupación francesa, merecedor por su gran patriotismo y persecución que sufrió por tal causa"". En una transcripción realizada de los documentos de la época leemos: ""Todo el mundo quedó admirado de que el General Duhesme no dijera nada al Doctor Joan Bahí, decano del cuerpo de abogados y tampoco a los 40 alcaldes de otros barrios que tenía entonces Barcelona..."" El doctor Bahí era maestro del cuerpo de boticarios."	19/11/1929 ( )	Decano Bahi; Fomento, abans de 1925; Pallàs	SANT MARTÍ (10)
948	97909	C	Carrer de la Dansa	Dansa	Josep M. Sert i Badia (Barcelona 1874 - 1945). Pintor y decorador de proyección universal.	12/06/1980 ( )	Decorador José Mª Sert	GRÀCIA (06)
949	98005	C	Carrer de Daoíz i Velarde	Daoíz i Velarde	Rafael Degollada i Guitart (Puigcerdà, Cerdanya 1799 - Barcelona 1876). Abogado y político liberal, impulsó, con Francesc Castanys, el desarrollo del Poblenou. Presidente de la Junta Central -o Junta Suprema- de Barcelona en 1843, se enfrentó con el gobierno del general Espartero. Derrotado, tuvo que exiliarse. Propietario de cuatro mujadas y tres casas en este lugar.			SANT MARTÍ (10)
950	98107	C	Carrer de Darnius	Darnius	Importante familia de terratenientes de Sarrià. Destacan Josep Demestre i Ibern, Magí Demestre y Jacint Demestre, notario de Barcelona entre 1866 y 1883. La calle se abrió en terrenos de los Castellnou.	07/03/1939 ( )	Oriol Martí; Demestre; Oriol Martí (Ajuntament de Sarrià); Pi y Margall (un tram); Vistahermosa (un tram), abans de 1888	SARRIÀ-SANT GERVASI (05)
951	98151	C	Carrer de Das	Das	Demóstenes (Atenas 384 a.C. - Calaurea 322 a.C.). Político y eminente orador.	05/09/1907 ( )	Pozo	SANTS-MONTJUÏC (03)
952	98209	C	Carrer del Degà Bahí	Degà Bahí	Debe su nombre a Dénia, municipio de La Marina Alta, Alicante. Importante ciudad por su historia. Reino de Taifa. Fue la sede de un condado, ducado y marquesado.	05/09/1907 ( )	Santo Domingo, abans de 1852	SARRIÀ-SANT GERVASI (05)
953	98300	C	Carrer de Josep M. Sert	Josep M. Sert	Conduce a las instalaciones deportivas de Can Caralleu.	10/10/1980 ( )		SARRIÀ-SANT GERVASI (05)
954	98402	C	Carrer de Degollada	Degollada	Por haber existido un importante depósito de agua.	 ( )	Depósito	HORTA-GUINARDÓ (07)
955	98606	C	Carrer de Demestre	Demestre	Sus vecinos consideraron que la calle merecía este nombre por la tranquilidad y el reposo de que podían disfrutar.	 ( )	Descanso	HORTA-GUINARDÓ (07)
956	98708	C	Carrer de Demòstenes	Demòstenes	René Descartes (Turena 1596 - Estocolmo 1650). Filósofo y científico francés. Era conocido también con el nombre latinizado de <i>Cartesius</i>. Es considerado como el padre de la filosofía moderna.	27/09/1876 ( )		SARRIÀ-SANT GERVASI (05)
957	98800	C	Carrer de Dénia	Dénia	Señorío del Far, uno de los títulos de los antiguos marqueses de Castellbell, cuya casa solariega, llamada Sitjar, se encontraba cerca de la calle. Los terrenos formaban parte de la heredad Casa Solà, propiedad de Pere Solà i Morera, payés, que murió en 1764.	07/03/1939 ( )	Palerm; Desfar; Lletra C	NOU BARRIS (08)
958	98854	C	Carrer dels Esports	Esports	En este lugar hubo antiguamente una capilla dedicada a Santa Eulalia, documentada desde 1463, porque, según la tradición, allí nació la santa en época romana. Los capuchinos se instalaron en este lugar en 1578. El nombre de <i>desierto</i> se daba, en el siglo XVI, a determinados conventos o eremitorios situados en despoblado.	30/03/1960 ( )	Desierto; Can Caralleu	SARRIÀ-SANT GERVASI (05)
959	98901	Ptge	Passatge del Dipòsit	Ptge Dipòsit	Antes calle de San Antonio. El nombre fue sustituido por el actual ya que San Antonio es patrón de los albañiles, a fin de recordar y honrar así a los constructores de edificios.	20/12/1979 ( )	Desplá; Paletes; San Antonio	SARRIÀ-SANT GERVASI (05)
960	99008	C	Carrer del Descans	Descans	Nombre que se debe a su situación detrás del Palacio de los Lugartenientes, después Palacio Real, construido en el año 1668 por orden de Felipe IV y desaparecido tras un incendio sucedido en el año 1875.	07/03/1939 ( )	Detrás Palacio; Antonio Ulled; Detrás Palacio, abans de 1900	CIUTAT VELLA (01)
961	99100	C	Carrer de Descartes	Descartes	Por su situación detrás de la iglesia de este nombre.		Detrás San Justo	CIUTAT VELLA (01)
962	99303	C	Carrer de Desfar	Desfar	Josep Deu i Mata (Barcelona 1846 - 1916). Propietario e industrial. Filántropo. Estaba casado con Magdalena Majó i Deu. La dedicación se hizo a propuesta de los vecinos y prohombres de Les Corts.	07/07/1942 ( )	Deu y Mata; Gelabert del Coscoll, 30/10/1931; Deu y Mata, 28/01/1918; Gelabert del Coscoll (s'hi uneix), 23/11/1911; Saldoni (un tram), 05/09/1907; Castellbó, 05/09/1907; San Francisco, 08/09/1848	LES CORTS (04)
963	99405	C	Carrer del Desert	Desert	Por la calle del mismo nombre.	10/10/1980 ( )		HORTA-GUINARDÓ (07)
964	99507	C	Carrer dels Paletes	Paletes	Debe su nombre a Deià, municipio de Mallorca Occidental.	28/07/1950 ( )	Deyá	NOU BARRIS (08)
965	99904	C	Carrer de Rere Palau	Rere Palau	El nombre forma parte de un conjunto de nombres de calles en el nomenclátor en los que intervino un joyero durante la urbanización, alrededor de 1850 (Maragda, Or, Robí, Topazi).		Diamante	GRÀCIA (06)
966	100005	C	Carrer de Rere Sant Just	Rere Sant Just	Vecindario del municipio de Sant Jordi Desvalls, Gironès. Vial que pertenece al grupo de casas Ramon Albó, donde las calles se dedican en gran mayoría a lugares y pueblos de la Cataluña Vieja.	29/05/1945 ( )	Núm. 38	NOU BARRIS (08)
967	100107	C	Carrer de Deu i Mata	Deu i Mata	Apel·les Mestres i Oñós (Barcelona 1854 - 1936). Dibujante, músico, poeta, comediógrafo y escritor.	27/06/1980 ( )	Dibuixant Apeles Mestres	GRÀCIA (06)
968	100173	Dav	Davallada de Gallecs	Dav Gallecs	"Evocación de los antiguos vehículos de transporte de viajeros. Calle situada en el barrio de Can Clos. En aquel lugar fue propietario de un terreno llamado ""lo Clos"" Antoni Mirats i Mas, hasta el año 1853."	23/06/1965 ( )	Diligencias	SANTS-MONTJUÏC (03)
969	100209	C	Carrer de Deià	Deià	El nombre se le puso popularmente, haciendo referencia a la cantidad de agua que se acumulaba en la parte baja de la calle cuando el Torrent de l'Olla bajaba lleno.	 ( )	Diluvio	GRÀCIA (06)
970	100300	Pl	Plaça del Diamant	Pl Diamant	Aristide Bonaventure Jean Maillol Rougé (Banyuls de la Marenda, Rosellón 1861 - 1944). Escultor y pintor. Se formó en la École des Beaux-Arts de París como pintor (1885-1886). En Banyuls practicó la tapicería, donde abrió un taller. Trabajó de ceramista y escultor. En 1904 abrió un taller en Marley-le-Roy. Una selección de su obra fue fundida en bronce y colocada en los jardines de las Tullerias de París.	20/12/1979 ( )	Av. División Azul, 13/04/1966	LES CORTS (04)
971	100402	C	Carrer de Diana	Diana	Diputación del General, es decir, la Generalitat, organismo financiero y militar del Principado establecido con carácter permanente a partir de las Cortes de 1413.	19/12/1863 ( )	Diputación; Lletra M (Pla Cerdà)	EIXAMPLE (02) SANTS-MONTJUÏC (03)
972	100504	C	Carrer d'Apel·les Mestres	Apel·les Mestres	Debe su nombre a la anémona, la planta. Forma parte de un conjunto de calles con nombres de plantas y árboles.	10/04/1981 ( )		SARRIÀ-SANT GERVASI (05)
973	100559	C	Carrer de les Diligències	Diligències	Manuel Carrasco i Formiguera (Barcelona 1890 - Burgos 1938). Político y abogado. Militante del movimiento catalanista y uno de los fundadores de Acció Catalana en 1922. Formó parte del gobierno presidido por Francesc Macià y continuó como consejero en el primer gobierno de la Generalitat. Fue uno de los principales dirigentes de Unión democràtica de Catalunya.	20/12/1979 ( )	Doctor Amigant, 07/03/1939; Campmany, 25/09/1931; Pedro de Amigant, 04/02/1931; Doctor Amigant, 18/05/1927; Colegio Máximo	SARRIÀ-SANT GERVASI (05)
974	100606	C	Carrer del Diluvi	Diluvi	Cima culminante de la sierra de Collserola. La avenida lleva al pie del funicular que sube a la montaña de dicho nombre.	20/12/1979 ( )	Doctor Andreu, 1931; Tibidabo; Pg. del Funicular, 23/03/1906	SARRIÀ-SANT GERVASI (05)
975	100708	C	Carrer d'Arístides Maillol	Arístides Maillol	Josep Balari i Jovany (Barcelona 1844 - 1904). Filólogo, historiador y taquígrafo. Licenciado en Derecho y en Filosofía y Letras por la UB.	04/03/1947 ( )	Balan; Guimbernat; San Cristóbal	SANT ANDREU (09)
976	100800	C	Carrer de la Diputació	Diputació	Salvador Bové i Salvador (Reus, Baix Camp 1869 - Badalona, Barcelonès 1915). Canónigo. Historiador.	 ( )		HORTA-GUINARDÓ (07)
977	100854	Ptge	Passatge de l'Anemone	Ptge Anemone	Joan Cadevall i Diars (Castellgalí, Bages 1846 - Terrassa, Vallès Occidental 1921). Botánico y geógrafo. Doctor en Ciencias Naturales (1871), se dedicó a la enseñanza en Terrassa.	29/03/1922 ( )	París	HORTA-GUINARDÓ (07)
978	100901	C	Carrer de Carrasco i Formiguera	Carrasco Formiguer	Valenti Carulla i Margenat (Sarrià 1864 - Barcelona 1923). Médico. Catedrático. Rector de la Universidad de Barcelona (1919). Le concedieron el marquesado de Carulla.	24/09/1936 ( )	Pi y Margall (un tram); Doctor Carulla, abans de 1922; Vistahermosa (un tram)	SARRIÀ-SANT GERVASI (05)
979	101008	Av	Avinguda del Tibidabo	Av Tibidabo	Jaume Ramon Coll i Domènec (Sant Feliu de Llobregat, Baix Llobregat 1839 - Barcelona 1883) Médico. Director del Museo Anatómico. Catedrático de clínicas quirúrgicas de la facultad de medicina de Barcelona. Queda abierta la investigación para determinar la relación con la familia propietaria de los terrenos, especialmente con Amàlia de Bacardí i de Casanovas, casada con Josep Enric Coll i Masadas.	 ( )		HORTA-GUINARDÓ (07)
980	101100	C	Carrer del Doctor Balari i Jovany	Dr Balari i Jovany	Ramon Llàtzer de Dou i de Bassols (Barcelona 1742 - Cervera, Segarra 1832). Jurista, político y economista. Canónigo de Barcelona. Último canciller de la Universidad de Cervera. Presidió las Cortes de Cádiz entre el 24 de septiembre de 1810 y el 24 de octubre de 1810.			CIUTAT VELLA (01)
981	101201	C	Carrer del Doctor Bové	Doctor Bové	Pere Farreras i Valentí (Barcelona 1916 - 1968). Médico y catedrático. Destacado colaborador del doctor Pedro i Pons. Director de la Escuela de Hematología. Publicó el manual <i>Medicina interna</i>.	25/04/1973 ( )		SARRIÀ-SANT GERVASI (05)
982	101303	C	Carrer del Doctor Cadevall	Doctor Cadevall	Jaume Ferran i Clua (Corbera d'Ebre, Terra Alta 1852 - Barcelona 1929). Médico y bacteriólogo. Descubrió la vacuna contra el cólera.	10/12/1929 ( )	Núm. 16 (plànol de les Corts)	LES CORTS (04)
983	101405	C	Carrer del Doctor Carulla	Doctor Carulla		22/10/2007 ( )	Pl. del Doctor Ferrer i Cajigal, 9/4/1940; Jardines Hermenegildo Giner de los Rios, 26/08/1931; Jardines del Príncipe de Asturias, 15/06/1926	EIXAMPLE (02)
984	101507	C	Carrer del Doctor Coll	Doctor Coll	Alexander Fleming (Escocia 1881 - Londres 1955). Bacteriólogo británico. Descubridor de los antibióticos. Premio Nobel de medicina de 1945.	28/07/1950 ( )		LES CORTS (04) SARRIÀ-SANT GERVASI (05)
985	101609	C	Carrer del Doctor Dou	Doctor Dou	Debe su nombre al peral, el árbol frutal. Situado en el barrio del Rectoret, en Vallvidrera, forma parte de un conjunto de calles con nombres de árboles y arbustos.	10/04/1981 ( )	Av. Doctor Fleming	SARRIÀ-SANT GERVASI (05)
986	101642	C	Carrer del Doctor Farreras i Valentí	Dr Farreras Valent	Se dedicaron estos jardines a Alexander Fleming para poder disfrutar de un lugar más tranquilo y adecuado donde hacerle la tradicional ofrenda floral, ya que anteriormente se hacía en la Rambla, al lado del palacio de la Virreina.	 ( )		CIUTAT VELLA (01)
987	101700	C	Carrer del Doctor Ferran	Doctor Ferran	(Sant Feliu de Guíxols, Baix Empordà 1640 - Barcelona 1731). Fundador de la Causa Pía para la asistencia de los enfermos hospitalizados.	18/06/1964 ( )	Doctor Francisco Darder	LES CORTS (04) SARRIÀ-SANT GERVASI (05)
