name,ISIN,Ticker,Fund CCY,Fund size [M],TER in % p.a.,1Y in %,3Y in %,5Y in %,2020 in %,2019 in %,2018 in %,2017 in %
Invesco MDAX UCITS ETF A,IE00BHJYDV33,DEAM,EUR,363,0.19%,49.96%,-,-,8.18%,-,-,-
Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Acc,IE00B94ZB998,MLPS,USD,19,0.50%,79.62%,-8.16%,-7.28%,-37.04%,9.94%,-10.51%,-19.89
Invesco Morningstar US Energy Infrastructure MLP UCITS ETF Dist,IE00B8CJW150,MLPD,USD,238,0.50%,79.72%,-7.66%,-6.66%,-36.74%,9.92%,-10.45%,-19.86
Invesco MSCI China All Shares Stock Connect UCITS ETF Acc,IE00BK80XL30,-,USD,14,0.35%,-,-,-,-,-,-,-
Invesco MSCI Emerging Markets UCITS ETF,IE00B3DWVS88,MXFS,USD,508,0.19%,42.89%,25.81%,71.84%,7.71%,20.08%,-11.01%,20.02
Invesco MSCI EMU ESG Universal Screened UCITS ETF Acc,IE00BMDBMX02,EEMU,EUR,-,0.16%,-,-,-,-,-,-,-
Invesco MSCI Europe ESG Leaders Catholic Principles UCITS ETF A,IE00BG0NY640,-,EUR,91,0.30%,40.30%,-,-,-0.66%,-,-,-
Invesco MSCI Europe ESG Universal Screened UCITS ETF Acc,IE00BJQRDL90,-,EUR,94,0.16%,37.81%,-,-,1.09%,-,-,-
Invesco MSCI Europe Ex UK ESG Universal Screened UCITS ETF Acc,IE00BMDBMW94,-,EUR,5,0.16%,-,-,-,-,-,-,-
Invesco MSCI Europe ex-UK UCITS ETF,IE00BYX5K108,MXUK,EUR,107,0.20%,38.29%,31.24%,-,1.84%,27.47%,-10.62%,-
Invesco MSCI Europe UCITS ETF,IE00B60SWY32,SC0E,EUR,108,0.19%,35.05%,24.35%,49.03%,-3.27%,26.25%,-10.44%,10.28
Invesco MSCI Europe Value UCITS ETF,IE00B3LK4Z20,EMSV,EUR,64,0.35%,35.53%,5.32%,30.78%,-13.21%,19.14%,-11.95%,7.89
Invesco MSCI Japan UCITS ETF,IE00B60SX287,SC0I,USD,4,0.19%,27.11%,24.90%,57.98%,4.85%,22.07%,-9.55%,8.48
Invesco MSCI USA ESG Universal Screened UCITS ETF Acc,IE00BJQRDM08,ESGU,USD,459,0.09%,40.76%,-,-,13.54%,-,-,-
Invesco MSCI USA UCITS ETF,IE00B60SX170,SC0H,USD,"2,139",0.05%,40.87%,73.39%,111.46%,11.02%,34.00%,-0.17%,6.51
Invesco MSCI World ESG Universal Screened UCITS ETF Acc,IE00BJQRDK83,ESGW,USD,32,0.19%,38.66%,-,-,8.70%,-,-,-
Invesco MSCI World UCITS ETF,IE00B60SX394,SC0J,USD,"2,472",0.19%,38.46%,53.60%,86.59%,6.28%,30.38%,-4.29%,7.59
Invesco Nasdaq Biotech UCITS ETF,IE00BQ70R696,SBIO,USD,584,0.40%,21.95%,53.71%,56.50%,15.26%,27.01%,-4.92%,6.48
Invesco Nasdaq Next Generation 100 UCITS ETF Acc,IE00BMD8KP97,EQQJ,USD,-,0.25%,-,-,-,-,-,-,-
Invesco Nasdaq-100 UCITS ETF EUR Hedged,IE00BYVTMS52,EQEU,EURHedged,140,0.35%,65.55%,101.91%,-,45.69%,34.33%,-3.43%,-
Invesco Physical Gold A,IE00B579F325,-,USD,"10,128",0.15%,-2.80%,34.95%,33.84%,13.66%,20.83%,3.24%,-1.98
Invesco Physical Gold EUR Hedged ETC,XS2183935274,-,EURHedged,127,0.19%,-,-,-,-,-,-,-
Invesco Preferred Shares UCITS UCITS ETF EUR Hedged,IE00BDT8V027,PDSE,EURHedged,26,0.55%,15.85%,-,-,4.01%,12.97%,-,-
Invesco Russell 2000 UCITS ETF,IE00B60SX402,SC0K,USD,53,0.45%,71.81%,55.27%,102.58%,9.34%,27.37%,-7.21%,0.32
Invesco S&P 500 ESG UCITS ETF Acc,IE00BKS7L097,SPXE,USD,5,0.09%,40.67%,-,-,-,-,-,-
Invesco S&P 500 EUR Hedged UCITS ETF,IE00BRKWGL70,E500,EURHedged,441,0.05%,49.50%,54.28%,94.61%,16.78%,27.10%,-7.74%,18.77
Invesco S&P 500 High Dividend Low Volatility UCITS ETF,IE00BWTN6Y99,HDLV,USD,80,0.30%,28.94%,27.11%,35.29%,-17.92%,21.84%,-2.32%,-2.11
Invesco S&P 500 QVM UCITS ETF,IE00BDZCKK11,PQVM,USD,5,0.35%,26.77%,43.01%,-,-0.59%,27.74%,-1.91%,-
Invesco S&P 500 UCITS ETF,IE00B3YCGJ38,SPXS,USD,"7,473",0.05%,38.46%,70.97%,108.99%,8.31%,33.90%,0.06%,6.71
Invesco S&P 500 UCITS ETF Dist,IE00BYML9W36,SPXD,USD,"1,230",0.05%,38.51%,71.08%,109.13%,8.35%,33.89%,0.02%,6.71
Invesco STOXX Europe 600 UCITS ETF,IE00B60SWW18,SC0C,EUR,324,0.19%,36.46%,26.17%,50.80%,-2.00%,26.96%,-10.64%,10.66
Invesco STOXX Europe Mid 200 UCITS ETF,IE00B60SX063,SC0G,EUR,6,0.35%,47.52%,26.10%,57.28%,0.38%,25.95%,-11.41%,15.76
Invesco STOXX Europe Small 200 UCITS ETF,IE00B60SWZ49,SC0F,EUR,2,0.35%,49.49%,31.27%,63.36%,4.42%,28.64%,-13.20%,17.69
Invesco US High Yield Fallen Angels UCITS ETF Dist,IE00BD0Q9673,HYFA,USD,289,0.45%,26.88%,23.36%,-,-0.13%,13.92%,-0.34%,-4.05
Invesco US High Yield Fallen Angels UCITS ETF EUR Hedge Acc,IE00BYVTMZ20,FAEU,EURHedged,25,0.50%,37.05%,10.82%,-,6.53%,8.43%,-7.59%,-
Invesco US Treasury Bond 0-1 Year UCITS ETF Dist,IE00BKWD3C98,TREI,USD,1,0.06%,-8.25%,-,-,-,-,-,-
Invesco US Treasury Bond 0-1 Year UCITS ETF EUR hedged,IE00BLCH1X54,T1EU,EURHedged,0,0.10%,-0.60%,-,-,-,-,-,-
Invesco US Treasury Bond 1-3 Year UCITS ETF A,IE00BF2FNG46,TRE3,USD,19,0.06%,-8.08%,-,-,-5.58%,-,-,-
Invesco US Treasury Bond 3-7 Year UCITS ETF A,IE00BF2FNQ44,TRE7,USD,26,0.06%,-9.11%,-,-,-2.02%,-,-,-
Invesco US Treasury Bond 7-10 Year UCITS ETF A,IE00BF2FN646,TREX,USD,474,0.06%,-12.70%,-,-,0.71%,-,-,-
Invesco US Treasury Bond 7-10 Year UCITS ETF EUR hedged Dist,IE00BF2FN869,TRDE,EURHedged,326,0.10%,-5.65%,-,-,8.39%,-,-,-
Invesco US Treasury Bond UCITS ETF A,IE00BF2GFH28,TRES,USD,72,0.06%,-11.91%,-,-,-1.11%,-,-,-
Invesco USD Corporate Bond UCITS ETF Dist,IE00BF51K025,PUIG,USD,17,0.10%,-1.68%,24.05%,-,0.86%,17.07%,1.53%,-
Invesco USD Floating Rate Note UCITS ETF EUR Hedged,IE00BFZ11324,UFLE,EURHedged,1,0.12%,3.83%,-,-,-1.78%,2.00%,-,-
iShares Ageing Population UCITS ETF,IE00BYZK4669,AGED,USD,602,0.40%,47.25%,29.70%,-,3.01%,22.29%,-8.70%,6.98
iShares Agribusiness UCITS ETF,IE00B6R52143,ISAG,USD,177,0.55%,53.21%,44.01%,69.90%,1.00%,19.88%,-7.99%,5.18
iShares Asia Pacific Dividend UCITS ETF,IE00B14X4T88,-,USD,352,0.59%,34.51%,5.79%,26.23%,-17.67%,16.60%,-11.08%,2.49
iShares Asia Property Yield UCITS ETF,IE00B1FZS244,-,USD,445,0.59%,20.24%,15.36%,25.03%,-16.60%,19.38%,2.61%,3.61
iShares Asia Property Yield UCITS ETF USD (Acc),IE00BGDPWV87,-,USD,7,0.59%,21.01%,-,-,-16.54%,19.27%,-,-
iShares ATX UCITS ETF (DE),DE000A0D8Q23,-,EUR,154,0.32%,53.30%,-0.40%,60.07%,-11.30%,19.93%,-17.27%,33.30
iShares Automation & Robotics UCITS ETF,IE00BYWZ0333,RBOD,USD,112,0.40%,68.82%,68.51%,-,27.25%,40.25%,-14.33%,-
iShares Automation & Robotics UCITS ETF,IE00BYZK4552,RBOT,USD,"3,062",0.40%,68.51%,67.98%,-,26.27%,41.14%,-14.38%,29.18
iShares BRIC 50 UCITS ETF,IE00B1W57M07,-,USD,228,0.74%,28.95%,30.36%,98.17%,8.88%,25.09%,-4.43%,19.63
iShares China CNY Bond UCITS ETF USD (Dist),IE00BYPC1H27,CNYB,USD,"4,755",0.35%,-2.36%,-,-,0.09%,-,-,-
iShares China Large Cap UCITS ETF,IE00B02KXK85,-,USD,608,0.74%,16.21%,13.24%,54.99%,0.79%,15.94%,-8.30%,18.24
iShares Core DAX UCITS ETF (DE),DE0005933931,EXS1,EUR,"7,015",0.16%,46.22%,22.14%,56.78%,2.90%,24.86%,-18.70%,13.75
iShares Core Euro Corporate Bond UCITS ETF (Dist),IE00B3F81R35,IEBC,EUR,"8,853",0.20%,8.82%,7.43%,11.39%,2.55%,6.32%,-1.41%,2.28
iShares Core Euro Government Bond UCITS ETF (Dist),IE00B4WXJJ64,SEGA,EUR,"4,058",0.09%,3.28%,8.85%,9.83%,5.12%,6.37%,0.81%,-0.01
iShares Core EURO STOXX 50 UCITS ETF EUR (Acc),IE00B53L3W79,CSSX5E,EUR,"3,799",0.10%,42.88%,27.43%,59.21%,-3.03%,29.75%,-11.56%,9.70
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist),IE0008471009,EUN2,EUR,"4,278",0.10%,42.83%,27.36%,59.71%,-3.02%,29.67%,-11.54%,9.67
iShares Core FTSE 100 UCITS ETF (Dist),IE0005042456,-,GBP,"10,868",0.07%,28.35%,9.65%,26.79%,-16.25%,23.11%,-9.53%,8.01
iShares Core FTSE 100 UCITS ETF GBP (Acc),IE00B53HP851,CSUKX,GBP,"1,970",0.07%,28.75%,9.74%,26.89%,-16.36%,23.18%,-9.59%,7.97
iShares Core Global Aggregate Bond UCITS ETF EUR Hedged (Acc),IE00BDBRDM35,EUNA,EURHedged,"1,182",0.10%,0.57%,6.06%,-,3.86%,5.07%,-1.20%,-
iShares Core Global Aggregate Bond UCITS ETF USD (Dist),IE00B3F81409,AGGG,USD,593,0.10%,-3.57%,12.35%,-,-0.62%,9.25%,3.37%,-
iShares Core MSCI Emerging Markets IMI UCITS ETF,IE00BD45KH83,EIMU,USD,584,0.18%,46.03%,27.29%,-,8.54%,19.69%,-,-
iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc),IE00BKM4GZ66,EIMI,USD,"15,997",0.18%,45.38%,26.80%,72.95%,8.38%,19.71%,-10.78%,20.40
iShares Core MSCI EMU UCITS ETF EUR (Acc),IE00B53QG562,CSEMU,EUR,"2,775",0.12%,43.07%,23.58%,57.69%,-0.76%,26.22%,-12.40%,12.75
iShares Core MSCI Europe UCITS ETF EUR (Acc),IE00B4K48X80,-,EUR,"4,368",0.12%,35.58%,24.98%,49.74%,-3.17%,26.40%,-10.42%,10.29
iShares Core MSCI Europe UCITS ETF EUR (Dist),IE00B1YZSC51,-,EUR,"6,207",0.12%,35.43%,24.91%,49.80%,-3.09%,26.34%,-10.42%,10.29
iShares Core MSCI Japan IMI UCITS ETF,IE00B4L5YX21,IJPA,USD,"3,725",0.15%,27.72%,23.03%,58.34%,3.62%,21.48%,-9.50%,9.96
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc),IE00B52MJY50,CSPXJ,USD,"2,516",0.20%,38.49%,28.45%,58.69%,-2.61%,20.47%,-6.19%,10.60
iShares Core MSCI World UCITS ETF EUR Hedged (Dist),IE00BKBF6H24,IWLE,EURHedged,739,0.30%,46.07%,-,-,12.27%,-,-,-
iShares Core MSCI World UCITS ETF USD (Acc),IE00B4L5Y983,IWDA,USD,"27,963",0.20%,38.44%,53.24%,86.33%,6.13%,30.22%,-4.30%,7.61
iShares Core S&P 500 UCITS ETF (Acc),IE00B5BMR087,CSSPX,USD,"37,347",0.07%,37.79%,69.23%,106.77%,8.04%,33.54%,-0.20%,6.71
iShares Core S&P 500 UCITS ETF USD (Dist),IE0031442068,-,USD,"10,375",0.07%,37.83%,69.33%,106.27%,8.13%,33.58%,-0.20%,6.61
iShares Developed Markets Property Yield UCITS ETF,IE00B1FZS350,-,USD,"1,683",0.59%,21.74%,22.23%,18.99%,-17.09%,24.24%,-1.29%,-2.82
iShares Digital Security UCITS ETF USD (Acc),IE00BG0J4C88,LOCK,USD,"1,085",0.40%,41.53%,-,-,15.96%,30.95%,-,-
iShares Digital Security UCITS ETF USD (Dist),IE00BG0J4841,SHLD,USD,101,0.40%,41.49%,-,-,16.08%,31.04%,-,-
iShares Digitalisation UCITS ETF,IE00BYZK4883,DGTL,USD,"1,354",0.40%,68.73%,75.63%,-,29.29%,28.02%,0.00%,12.47
iShares DivDAX UCITS ETF (DE),DE0002635273,EXSB,EUR,541,0.31%,57.40%,24.77%,66.26%,2.13%,23.17%,-16.58%,13.62
iShares Diversified Commodity Swap UCITS ETF,IE00BDFL4P12,ICOM,USD,"1,558",0.19%,21.92%,3.49%,-,-11.33%,9.49%,-7.43%,-
iShares Diversified Commodity Swap UCITS ETF (DE),DE000A0H0728,EXXY,EUR,370,0.46%,20.44%,0.84%,2.98%,-14.29%,8.60%,-6.62%,-11.44
iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),DE000A0H0744,EXXW,EUR,251,0.31%,34.50%,6.59%,27.57%,-18.59%,18.68%,-10.67%,2.37
iShares Dow Jones China Offshore 50 UCITS ETF (DE),DE000A0F5UE8,EXXU,USD,92,0.61%,31.57%,33.26%,100.31%,15.85%,26.72%,-14.49%,28.13
iShares Dow Jones Eurozone Sustainability Screened UCITS ETF (DE),DE000A0F5UG3,EXXV,EUR,163,0.41%,41.90%,25.62%,67.00%,-3.83%,27.97%,-10.37%,13.01
iShares Dow Jones Global Sustainability Screened UCITS ETF,IE00B57X3V84,-,USD,398,0.60%,34.62%,47.24%,82.83%,3.93%,28.71%,-4.29%,7.65
iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,EXI2,EUR,792,0.51%,34.73%,73.03%,109.29%,10.61%,35.75%,-0.58%,6.10
iShares Dow Jones Industrial Average UCITS ETF (Acc),IE00B53L4350,CSINDU,USD,676,0.33%,32.27%,51.01%,97.84%,-0.06%,26.86%,0.42%,11.85
iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,EXI3,USD,237,0.51%,31.67%,48.67%,92.49%,-2.12%,28.66%,-1.27%,11.18
iShares Dow Jones US Select Dividend UCITS ETF (DE),DE000A0D8Q49,EXX5,USD,326,0.31%,37.44%,35.48%,54.40%,-15.21%,24.63%,-3.32%,0.07
iShares eb.rexx Government Germany 0-1yr UCITS ETF (DE),DE000A0Q4RZ9,EXVM,EUR,351,0.13%,-0.74%,-2.38%,-3.98%,-0.79%,-0.80%,-0.84%,-0.96
iShares eb.rexx Government Germany 1.5-2.5yr UCITS ETF (DE),DE0006289473,EXHB,EUR,158,0.16%,-0.73%,-2.20%,-3.47%,-0.80%,-0.83%,-0.53%,-1.03
iShares eb.rexx Government Germany 10.5+yr UCITS ETF (DE),DE000A0D8Q31,EXX6,EUR,62,0.16%,-1.51%,17.13%,13.22%,8.31%,9.15%,6.35%,-2.67
iShares eb.rexx Government Germany 2.5-5.5yr UCITS ETF (DE),DE0006289481,EXHC,EUR,186,0.16%,-0.25%,0.04%,-0.95%,-0.05%,-0.16%,0.45%,-1.23
iShares eb.rexx Government Germany 5.5-10.5yr UCITS ETF (DE),DE0006289499,EXHD,EUR,157,0.16%,0.29%,5.90%,4.73%,2.11%,2.56%,2.30%,-1.10
iShares eb.rexx Government Germany UCITS ETF (DE),DE0006289465,EXHA,EUR,282,0.16%,-0.23%,2.00%,0.94%,0.71%,0.83%,1.00%,-1.17
iShares Edge MSCI EM Minimum Volatility UCITS ETF,IE00B8KGV557,EMMV,USD,392,0.40%,22.48%,13.18%,35.23%,-1.66%,10.09%,-1.83%,11.19
iShares Edge MSCI EM Value Factor UCITS ETF USD(Acc),IE00BG0SKF03,EMVL,USD,99,0.40%,43.30%,-,-,-1.51%,18.73%,-,-
iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF (Acc),IE00BKVL7D31,MVEE,EUR,12,0.25%,-,-,-,-,-,-,-
iShares Edge MSCI Europe Minimum Volatility UCITS ETF,IE00B86MWN23,MVEU,EUR,881,0.25%,19.41%,21.79%,33.15%,-3.94%,23.06%,-4.11%,8.97
iShares Edge MSCI Europe Momentum Factor UCITS ETF,IE00BQN1K786,-,EUR,408,0.25%,37.44%,43.49%,71.07%,11.61%,29.79%,-9.90%,10.99
iShares Edge MSCI Europe Multifactor UCITS ETF,IE00BZ0PKV06,-,EUR,182,0.45%,39.96%,24.36%,51.04%,-0.76%,24.76%,-10.87%,12.19
iShares Edge MSCI Europe Quality Factor UCITS ETF,IE00BQN1K562,-,EUR,151,0.25%,34.15%,39.12%,56.25%,1.20%,30.72%,-6.53%,10.05
iShares Edge MSCI Europe Size Factor UCITS ETF,IE00BQN1KC32,-,EUR,32,0.25%,47.41%,25.95%,53.08%,2.09%,26.95%,-13.10%,13.66
iShares Edge MSCI Europe Value Factor UCITS ETF,IE00BQN1K901,IEVL,EUR,"2,499",0.25%,43.67%,13.64%,42.12%,-8.90%,22.14%,-13.59%,9.76
iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF,IE00BKVL7331,MVEA,USD,"1,247",0.20%,-,-,-,-,-,-,-
iShares Edge MSCI USA Momentum Factor UCITS ETF,IE00BD1F4N50,IUMO,USD,"1,671",0.20%,40.09%,73.18%,-,18.22%,29.76%,2.62%,20.63
iShares Edge MSCI USA Multifactor UCITS ETF,IE00BZ0PKS76,IFSU,USD,95,0.35%,35.28%,44.72%,78.98%,1.43%,28.15%,-6.01%,6.20
iShares Edge MSCI USA Quality Factor UCITS ETF,IE00BD1F4L37,IUQA,USD,417,0.20%,33.49%,64.90%,-,6.64%,36.15%,-1.70%,7.09
iShares Edge MSCI USA Size Factor UCITS ETF,IE00BD1F4K20,IUSZ,USD,107,0.20%,55.45%,57.31%,-,7.68%,31.01%,-5.80%,3.61
iShares Edge MSCI USA Value Factor UCITS ETF,IE00BD1F4M44,IUVL,USD,"4,327",0.20%,44.19%,41.18%,-,-9.23%,29.35%,-7.43%,6.77
iShares Edge MSCI World Minimum Volatility ESG UCITS ETF (Acc),IE00BKVL7778,MVEW,USD,93,0.30%,-,-,-,-,-,-,-
iShares Edge MSCI World Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYXPXL17,SXR0,EURHedged,91,0.35%,16.13%,22.96%,-,-0.80%,20.08%,-3.68%,-
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc),IE00B8FHGS14,MVOL,USD,"2,890",0.30%,9.28%,33.05%,44.29%,-6.05%,25.54%,2.48%,3.15
iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Dist),IE00BMCZLJ20,UEEH,USD,2,0.30%,-,-,-,-,-,-,-
iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),IE00BP3QZ825,IWMO,USD,"2,174",0.30%,40.03%,69.73%,120.07%,17.09%,29.88%,1.64%,15.92
iShares Edge MSCI World Multifactor UCITS ETF EUR Hedged (Acc),IE00BYXPXK00,IS07,EURHedged,5,0.55%,44.33%,25.31%,-,7.19%,17.95%,-12.74%,-
iShares Edge MSCI World Multifactor UCITS ETF USD (Acc),IE00BZ0PKT83,IFSW,USD,453,0.50%,36.98%,35.77%,69.93%,1.21%,24.06%,-7.64%,10.98
iShares Edge MSCI World Quality Factor UCITS ETF (Acc),IE00BP3QZ601,IWQU,USD,"1,352",0.30%,32.54%,55.44%,82.45%,5.18%,33.04%,-2.92%,8.19
iShares Edge MSCI World Size Factor UCITS ETF,IE00BP3QZD73,IWSZ,USD,800,0.30%,44.75%,32.65%,62.68%,1.27%,26.02%,-9.99%,8.97
iShares Edge MSCI World Value Factor UCITS ETF,IE00BP3QZB59,IWVL,USD,"4,450",0.30%,33.80%,18.39%,51.31%,-12.53%,22.02%,-9.82%,7.36
iShares Edge S&P 500 Minimum Volatility UCITS ETF (Acc),IE00B6SPMN59,SPMV,USD,"1,039",0.20%,21.97%,50.83%,68.46%,-1.00%,34.19%,-0.88%,2.60
iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc),IE00BYX8XD24,-,EURHedged,234,0.25%,31.79%,36.70%,-,6.10%,27.88%,-8.03%,14.48
iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),IE00BGL86Z12,ECAR,USD,500,0.40%,92.94%,-,-,20.42%,-,-,-
iShares Emerging Asia Local Government Bond UCITS ETF,IE00B6QGFW01,IGEA,USD,135,0.50%,0.46%,13.26%,10.61%,-0.47%,11.22%,3.07%,-1.57
iShares Emerging Market Infrastructure UCITS ETF,IE00B2NPL135,-,USD,41,0.74%,13.84%,-14.54%,-10.10%,-26.37%,17.16%,-9.89%,5.51
iShares Emerging Markets Dividend UCITS ETF,IE00B652H904,SEDY,USD,338,0.65%,27.37%,11.60%,51.69%,-10.74%,17.02%,-1.56%,10.35
iShares Euro Aggregate Bond UCITS ETF,IE00B3DKXQ41,SEAG,EUR,"2,010",0.25%,3.95%,7.52%,8.81%,3.75%,5.89%,0.21%,0.48
iShares Euro Corporate Bond 0-3yr ESG UCITS ETF EUR (Dist),IE00BYZTVV78,QDVL,EUR,"1,627",0.15%,2.68%,0.84%,1.13%,0.23%,0.88%,-0.47%,-0.08
iShares Euro Corporate Bond 1-5yr UCITS ETF,IE00B4L60045,IE15,EUR,"4,123",0.20%,5.34%,3.23%,5.37%,0.98%,2.70%,-0.67%,0.96
iShares Euro Corporate Bond BBB-BB UCITS ETF,IE00BSKRK281,IS06,EUR,822,0.25%,10.66%,8.38%,14.61%,2.42%,7.90%,-2.24%,3.33
iShares Euro Corporate Bond ESG UCITS ETF (Dist),IE00BYZTVT56,SUOE,EUR,"1,982",0.15%,8.37%,-,-,2.32%,6.06%,-,-
iShares Euro Corporate Bond ex-Financials 1-5yr UCITS ETF,IE00B4L5ZY03,EUNS,EUR,"1,464",0.20%,5.10%,2.66%,4.47%,0.81%,2.43%,-0.63%,0.75
iShares Euro Corporate Bond ex-Financials UCITS ETF,IE00B4L5ZG21,EUNR,EUR,"1,561",0.20%,9.30%,7.78%,10.97%,2.84%,6.42%,-1.25%,1.71
iShares Euro Corporate Bond Financials UCITS ETF,IE00B87RLX93,IS3B,EUR,206,0.20%,8.21%,7.05%,12.01%,2.27%,6.20%,-1.66%,3.08
iShares Euro Corporate Bond Interest Rate Hedged UCITS ETF,IE00B6X2VY59,IRCP,EUR,784,0.25%,8.30%,2.05%,3.63%,0.79%,4.14%,-3.65%,1.52
iShares Euro Corporate Bond Large Cap UCITS ETF,IE0032523478,IBCS,EUR,"3,274",0.20%,8.45%,7.28%,9.72%,2.71%,6.06%,-1.19%,1.50
iShares Euro Covered Bond UCITS ETF,IE00B3B8Q275,IUS6,EUR,"1,146",0.20%,1.54%,3.69%,4.14%,1.63%,2.65%,0.12%,0.47
iShares Euro Dividend UCITS ETF,IE00B0M62S72,IDVY,EUR,963,0.40%,50.75%,5.85%,33.98%,-17.65%,21.80%,-10.97%,9.71
iShares Euro Floating Rate Bond UCITS ETF EUR (Dist),IE00BF5GB717,EFRN,EUR,45,0.10%,2.46%,-,-,0.00%,1.01%,-,-
iShares Euro Government Bond 0-1yr UCITS ETF,IE00B3FH7618,EUN6,EUR,104,0.20%,-0.51%,-1.78%,-3.01%,-0.60%,-0.56%,-0.63%,-0.75
iShares Euro Government Bond 1-3yr UCITS ETF (Acc),IE00B3VTMJ91,CSBGE3,EUR,405,0.20%,0.40%,-0.74%,-0.18%,-0.15%,0.18%,-0.32%,0.05
iShares Euro Government Bond 1-3yr UCITS ETF (Dist),IE00B14X4Q57,IBCA,EUR,"1,262",0.20%,0.40%,-0.75%,-0.19%,-0.15%,0.17%,-0.32%,0.05
iShares Euro Government Bond 10-15yr UCITS ETF,IE00B4WXJH41,-,EUR,73,0.20%,5.46%,14.65%,16.44%,6.61%,11.65%,1.06%,0.32
iShares Euro Government Bond 15-30yr UCITS ETF,IE00B1FZS913,-,EUR,301,0.20%,5.56%,21.04%,21.88%,11.60%,15.70%,3.11%,-1.14
iShares Euro Government Bond 20yr Target Duration UCITS ETF,IE00BSKRJX20,-,EUR,109,0.15%,1.14%,20.64%,19.36%,11.68%,14.29%,4.73%,-1.71
iShares Euro Government Bond 3-5yr UCITS ETF,IE00B1FZS681,IBGX,EUR,"1,738",0.20%,1.68%,2.11%,4.16%,1.01%,1.72%,0.63%,0.50
iShares Euro Government Bond 3-7yr UCITS ETF (Acc),IE00B3VTML14,CSBGE7,EUR,417,0.20%,2.38%,3.73%,4.80%,1.82%,2.84%,0.11%,0.20
iShares Euro Government Bond 5-7yr UCITS ETF,IE00B4WXJG34,-,EUR,274,0.20%,3.16%,6.22%,7.49%,2.71%,4.35%,0.50%,0.43
iShares Euro Government Bond 7-10yr UCITS ETF (Acc),IE00B3VTN290,CSBGE0,EUR,81,0.20%,3.61%,9.35%,11.83%,4.11%,6.69%,1.14%,1.03
iShares Euro Government Bond 7-10yr UCITS ETF EUR (Dist),IE00B1FZS806,IBGM,EUR,612,0.20%,3.61%,9.37%,11.91%,4.08%,6.73%,1.17%,1.05
iShares Euro Government Bond Capped 1.5-10.5yr UCITS ETF (DE),DE000A0H0785,EXHF,EUR,270,0.16%,3.55%,7.92%,9.08%,3.54%,5.36%,0.76%,0.17
iShares Euro Government Bond Climate UCITS ETF EUR (Acc),IE00BLDGH553,SECA,EUR,75,0.09%,-,-,-,-,-,-,-
iShares Euro Government Bond Climate UCITS ETF EUR (Dist),IE00BLDGH447,SECD,EUR,9,0.09%,-,-,-,-,-,-,-
iShares Euro High Yield Corporate Bond ESG UCITS ETF EUR Hedged (Acc),IE00BMDFDY08,UEEF,EURHedged,392,0.55%,-,-,-,-,-,-,-
iShares Euro High Yield Corporate Bond UCITS ETF EUR (Dist),IE00B66F4759,IHYG,EUR,"5,159",0.50%,19.30%,9.32%,20.84%,1.10%,10.06%,-3.52%,4.76
iShares Euro Inflation Linked Government Bond UCITS ETF,IE00B0M62X26,IBC1,EUR,"1,521",0.25%,11.01%,8.21%,12.86%,2.76%,6.46%,-1.67%,1.20
iShares EURO STOXX 50 UCITS ETF (DE),DE0005933956,EXW1,EUR,"5,786",0.10%,42.75%,27.28%,59.37%,-3.08%,30.41%,-12.01%,9.77
iShares EURO STOXX Banks 30-15 UCITS ETF (DE),DE0006289309,EXX1,EUR,"1,283",0.51%,58.84%,-23.95%,6.60%,-23.72%,18.03%,-30.95%,14.36
iShares EURO STOXX Mid UCITS ETF,IE00B02KXL92,-,EUR,442,0.40%,46.44%,22.36%,66.85%,1.72%,24.47%,-11.94%,18.43
iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),DE0002635281,EXSG,EUR,716,0.31%,50.91%,5.81%,34.80%,-17.87%,22.97%,-11.16%,9.53
iShares EURO STOXX Small UCITS ETF,IE00B02KXM00,-,EUR,551,0.40%,49.82%,33.86%,75.38%,9.01%,26.38%,-13.20%,21.95
iShares EURO STOXX UCITS ETF (DE),DE000A0D8Q07,EXSI,EUR,"1,854",0.20%,44.07%,25.31%,60.90%,0.55%,28.14%,-12.88%,13.09
iShares Euro Total Market Growth Large UCITS ETF,IE00B0M62V02,-,EUR,100,0.40%,42.14%,40.70%,71.94%,5.90%,34.98%,-11.26%,12.42
iShares Euro Ultrashort Bond ESG UCITS ETF (Dist),IE00BJP26D89,EUED,EUR,77,0.09%,1.53%,-,-,-,-,-,-
