provincia,altitud,distancia,desnivel,pendiente,coeficiente,capital,temporadas,nubosidad,precipitaciones,lluvia,turismo
JAÉN,1464,12,838,6,210,JAÉN,"La temporada calurosa dura 2,9 meses, del 15 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 31 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 36 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 3,7 meses, del 14 de noviembre al 5 de marzo, y la temperatura máxima promedio diaria es menos de 17 °C. El día más frío del año es el 15 de enero, con una temperatura mínima promedio de 1 °C y máxima promedio de 12 °C.","La parte más despejada del año en Jaén comienza aproximadamente el 9 de junio; dura 2,9 meses y se termina aproximadamente el 7 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 92 % del tiempo y nublado o mayormente nublado el 8 % del tiempo.La parte más nublada del año comienza aproximadamente el 7 de septiembre; dura 9,1 meses y se termina aproximadamente el 9 de junio. El 16 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 49 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 51 % del tiempo.","La temporada más mojada dura 7,9 meses, de 26 de septiembre a 23 de mayo, con una probabilidad de más del 11 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 21 % el 30 de octubre.La temporada más seca dura 4,1 meses, del 23 de mayo al 26 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 1 de agosto.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 21 % el 30 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 5 de noviembre, con una acumulación total promedio de 52 milímetros.El periodo del año sin lluvia dura 3,0 meses, del 8 de junio al 8 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 30 de julio, con una acumulación total promedio de 2 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Jaén para las actividades turísticas generales a la intemperie son desde principios de mayo hasta principios de julio y desde finales de agosto hasta mediados de octubre, con una puntuación máxima en la última semana de septiembre."
LA RIOJA,1374,11,591,4,119,LOGROÑO,"La temporada calurosa dura 3,0 meses, del 14 de junio al 13 de septiembre, y la temperatura máxima promedio diaria es más de 26 °C. El día más caluroso del año es el 3 de agosto, con una temperatura máxima promedio de 30 °C y una temperatura mínima promedio de 16 °C.La temporada fresca dura 3,6 meses, del 15 de noviembre al 4 de marzo, y la temperatura máxima promedio diaria es menos de 13 °C. El día más frío del año es el 6 de enero, con una temperatura mínima promedio de 2 °C y máxima promedio de 9 °C.","La parte más despejada del año en Logroño comienza aproximadamente el 15 de junio; dura 3,0 meses y se termina aproximadamente el 14 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 81 % del tiempo y nublado o mayormente nublado el 19 % del tiempo.La parte más nublada del año comienza aproximadamente el 14 de septiembre; dura 9,0 meses y se termina aproximadamente el 15 de junio. El 23 de noviembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 57 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 43 % del tiempo.","La temporada más mojada dura 8,4 meses, de 30 de septiembre a 12 de junio, con una probabilidad de más del 20 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 28 % el 18 de noviembre.La temporada más seca dura 3,6 meses, del 12 de junio al 30 de septiembre. La probabilidad mínima de un día mojado es del 12 % el 19 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 27 % el 17 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 6 de noviembre, con una acumulación total promedio de 49 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 3 de agosto, con una acumulación total promedio de 20 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Logroño para las actividades turísticas generales a la intemperie es desde principios de junio hasta finales de septiembre, con una puntuación máxima en la tercera semana de julio."
LEÓN,1394,12,655,5,149,LEÓN,"La temporada templada dura 2,9 meses, del 17 de junio al 12 de septiembre, y la temperatura máxima promedio diaria es más de 23 °C. El día más caluroso del año es el 3 de agosto, con una temperatura máxima promedio de 27 °C y una temperatura mínima promedio de 13 °C.La temporada fresca dura 3,6 meses, del 16 de noviembre al 3 de marzo, y la temperatura máxima promedio diaria es menos de 11 °C. El día más frío del año es el 20 de enero, con una temperatura mínima promedio de 0 °C y máxima promedio de 7 °C.","La parte más despejada del año en León comienza aproximadamente el 9 de junio; dura 3,2 meses y se termina aproximadamente el 15 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 81 % del tiempo y nublado o mayormente nublado el 19 % del tiempo.La parte más nublada del año comienza aproximadamente el 15 de septiembre; dura 8,8 meses y se termina aproximadamente el 9 de junio. El 16 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 60 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 40 % del tiempo.","La temporada más mojada dura 8,3 meses, de 23 de septiembre a 3 de junio, con una probabilidad de más del 17 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 27 % el 29 de octubre.La temporada más seca dura 3,7 meses, del 3 de junio al 23 de septiembre. La probabilidad mínima de un día mojado es del 7 % el 30 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 26 % el 29 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 28 de octubre, con una acumulación total promedio de 48 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 30 de julio, con una acumulación total promedio de 13 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar León para las actividades turísticas generales a la intemperie es desde finales de junio hasta principios de septiembre, con una puntuación máxima en la tercera semana de julio."
LLEIDA,1687,13,699,4,143,LLEIDA,"La temporada calurosa dura 3,0 meses, del 11 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 29 °C. El día más caluroso del año es el 26 de julio, con una temperatura máxima promedio de 33 °C y una temperatura mínima promedio de 19 °C.La temporada fresca dura 3,6 meses, del 16 de noviembre al 4 de marzo, y la temperatura máxima promedio diaria es menos de 16 °C. El día más frío del año es el 8 de enero, con una temperatura mínima promedio de 1 °C y máxima promedio de 12 °C.","La parte más despejada del año en Lleida comienza aproximadamente el 16 de junio; dura 2,7 meses y se termina aproximadamente el 5 de septiembre. El 14 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 85 % del tiempo y nublado o mayormente nublado el 15 % del tiempo.La parte más nublada del año comienza aproximadamente el 5 de septiembre; dura 9,3 meses y se termina aproximadamente el 16 de junio. El 30 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 46 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 54 % del tiempo.","La temporada más mojada dura 9,3 meses, de 29 de agosto a 8 de junio, con una probabilidad de más del 13 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 19 % el 2 de mayo.La temporada más seca dura 2,6 meses, del 8 de junio al 29 de agosto. La probabilidad mínima de un día mojado es del 7 % el 14 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 19 % el 2 de mayo.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 19 de octubre, con una acumulación total promedio de 42 milímetros.El periodo del año sin lluvia dura 2,7 semanas, del 10 de julio al 29 de julio. La fecha aproximada con la menor cantidad de lluvia es el 22 de julio, con una acumulación total promedio de 12 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Lleida para las actividades turísticas generales a la intemperie son desde principios de mayo hasta mediados de julio y desde mediados de agosto hasta mediados de octubre, con una puntuación máxima en la tercera semana de septiembre."
LUGO,1210,19,780,3,177,LUGO,"La temporada templada dura 2,8 meses, del 22 de junio al 17 de septiembre, y la temperatura máxima promedio diaria es más de 24 °C. El día más caluroso del año es el 30 de julio, con una temperatura máxima promedio de 27 °C y una temperatura mínima promedio de 13 °C.La temporada fresca dura 3,8 meses, del 15 de noviembre al 9 de marzo, y la temperatura máxima promedio diaria es menos de 14 °C. El día más frío del año es el 7 de febrero, con una temperatura mínima promedio de 2 °C y máxima promedio de 11 °C.","La parte más despejada del año en Lugo comienza aproximadamente el 9 de junio; dura 3,3 meses y se termina aproximadamente el 19 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 76 % del tiempo y nublado o mayormente nublado el 24 % del tiempo.La parte más nublada del año comienza aproximadamente el 19 de septiembre; dura 8,7 meses y se termina aproximadamente el 9 de junio. El 16 de enero, el día más nublado del año, el cielo está nublado o mayormente nublado el 69 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 31 % del tiempo.","La temporada más mojada dura 8,1 meses, de 28 de septiembre a 30 de mayo, con una probabilidad de más del 24 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 40 % el 8 de enero.La temporada más seca dura 3,9 meses, del 30 de mayo al 28 de septiembre. La probabilidad mínima de un día mojado es del 9 % el 24 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 39 % el 29 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 29 de diciembre, con una acumulación total promedio de 103 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 29 de julio, con una acumulación total promedio de 18 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Lugo para las actividades turísticas generales a la intemperie es desde finales de junio hasta principios de septiembre, con una puntuación máxima en la última semana de julio."
MADRID,1626,10,590,4,119,MADRID,"La temporada calurosa dura 2,9 meses, del 15 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 29 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 33 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 3,7 meses, del 14 de noviembre al 5 de marzo, y la temperatura máxima promedio diaria es menos de 15 °C. El día más frío del año es el 15 de enero, con una temperatura mínima promedio de 0 °C y máxima promedio de 10 °C.","La parte más despejada del año en Madrid comienza aproximadamente el 11 de junio; dura 3,0 meses y se termina aproximadamente el 12 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 88 % del tiempo y nublado o mayormente nublado el 12 % del tiempo.La parte más nublada del año comienza aproximadamente el 12 de septiembre; dura 9,0 meses y se termina aproximadamente el 11 de junio. El 16 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 52 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 48 % del tiempo.","La temporada más mojada dura 8,4 meses, de 1 de octubre a 14 de junio, con una probabilidad de más del 14 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 23 % el 29 de abril.La temporada más seca dura 3,6 meses, del 14 de junio al 1 de octubre. La probabilidad mínima de un día mojado es del 4 % el 19 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 23 % el 29 de abril.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 27 de octubre, con una acumulación total promedio de 48 milímetros.El periodo del año sin lluvia dura 2,1 meses, del 2 de julio al 4 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 31 de julio, con una acumulación total promedio de 6 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Madrid para las actividades turísticas generales a la intemperie es desde finales de mayo hasta principios de octubre, con una puntuación máxima en la segunda semana de septiembre."
MURCIA,823,10,712,6,181,MURCIA,"La temporada calurosa dura 3,0 meses, del 16 de junio al 14 de septiembre, y la temperatura máxima promedio diaria es más de 30 °C. El día más caluroso del año es el 5 de agosto, con una temperatura máxima promedio de 33 °C y una temperatura mínima promedio de 21 °C.La temporada fresca dura 3,9 meses, del 17 de noviembre al 14 de marzo, y la temperatura máxima promedio diaria es menos de 20 °C. El día más frío del año es el 7 de enero, con una temperatura mínima promedio de 4 °C y máxima promedio de 17 °C.","La parte más despejada del año en Murcia comienza aproximadamente el 14 de junio; dura 2,7 meses y se termina aproximadamente el 3 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 91 % del tiempo y nublado o mayormente nublado el 9 % del tiempo.La parte más nublada del año comienza aproximadamente el 3 de septiembre; dura 9,3 meses y se termina aproximadamente el 14 de junio. El 31 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 45 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 55 % del tiempo.","La temporada más mojada dura 8,5 meses, de 9 de septiembre a 26 de mayo, con una probabilidad de más del 7 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 13 % el 7 de octubre.La temporada más seca dura 3,4 meses, del 26 de mayo al 9 de septiembre. La probabilidad mínima de un día mojado es del 1 % el 3 de agosto.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 13 % el 7 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 13 de octubre, con una acumulación total promedio de 28 milímetros.El periodo del año sin lluvia dura 3,1 meses, del 31 de mayo al 4 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 24 de julio, con una acumulación total promedio de 2 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Murcia para las actividades turísticas generales a la intemperie son desde principios de abril hasta finales de junio y desde mediados de septiembre hasta finales de octubre, con una puntuación máxima en la última semana de mayo."
MÁLAGA,879,11,679,5,155,MÁLAGA,"La temporada calurosa dura 2,9 meses, del 17 de junio al 15 de septiembre, y la temperatura máxima promedio diaria es más de 28 °C. El día más caluroso del año es el 5 de agosto, con una temperatura máxima promedio de 31 °C y una temperatura mínima promedio de 21 °C.La temporada fresca dura 4,0 meses, del 18 de noviembre al 19 de marzo, y la temperatura máxima promedio diaria es menos de 19 °C. El día más frío del año es el 22 de enero, con una temperatura mínima promedio de 7 °C y máxima promedio de 16 °C.","La parte más despejada del año en Málaga comienza aproximadamente el 9 de junio; dura 2,9 meses y se termina aproximadamente el 6 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 93 % del tiempo y nublado o mayormente nublado el 7 % del tiempo.La parte más nublada del año comienza aproximadamente el 6 de septiembre; dura 9,1 meses y se termina aproximadamente el 9 de junio. El 30 de octubre, el día más nublado del año, el cielo está nublado o mayormente nublado el 46 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 54 % del tiempo.","La temporada más mojada dura 7,5 meses, de 27 de septiembre a 13 de mayo, con una probabilidad de más del 11 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 21 % el 17 de noviembre.La temporada más seca dura 4,5 meses, del 13 de mayo al 27 de septiembre. La probabilidad mínima de un día mojado es del 0 % el 27 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 21 % el 17 de noviembre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 11 de noviembre, con una acumulación total promedio de 66 milímetros.El periodo del año sin lluvia dura 3,5 meses, del 26 de mayo al 12 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 25 de julio, con una acumulación total promedio de 1 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, las mejores épocas del año para visitar Málaga para las actividades turísticas generales a la intemperie son desde principios de mayo hasta finales de julio y desde principios de septiembre hasta mediados de octubre, con una puntuación máxima en la tercera semana de junio."
NAVARRA,903,8,460,4,95,PAMPLONA,"La temporada calurosa dura 2,9 meses, del 15 de junio al 10 de septiembre, y la temperatura máxima promedio diaria es más de 29 °C. El día más caluroso del año es el 23 de julio, con una temperatura máxima promedio de 33 °C y una temperatura mínima promedio de 18 °C.La temporada fresca dura 3,7 meses, del 14 de noviembre al 5 de marzo, y la temperatura máxima promedio diaria es menos de 15 °C. El día más frío del año es el 15 de enero, con una temperatura mínima promedio de 0 °C y máxima promedio de 10 °C.","La parte más despejada del año en Madrid comienza aproximadamente el 11 de junio; dura 3,0 meses y se termina aproximadamente el 12 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 88 % del tiempo y nublado o mayormente nublado el 12 % del tiempo.La parte más nublada del año comienza aproximadamente el 12 de septiembre; dura 9,0 meses y se termina aproximadamente el 11 de junio. El 16 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 52 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 48 % del tiempo.","La temporada más mojada dura 8,4 meses, de 1 de octubre a 14 de junio, con una probabilidad de más del 14 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 23 % el 29 de abril.La temporada más seca dura 3,6 meses, del 14 de junio al 1 de octubre. La probabilidad mínima de un día mojado es del 4 % el 19 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 23 % el 29 de abril.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 27 de octubre, con una acumulación total promedio de 48 milímetros.El periodo del año sin lluvia dura 2,1 meses, del 2 de julio al 4 de septiembre. La fecha aproximada con la menor cantidad de lluvia es el 31 de julio, con una acumulación total promedio de 6 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Madrid para las actividades turísticas generales a la intemperie es desde finales de mayo hasta principios de octubre, con una puntuación máxima en la segunda semana de septiembre."
OURENSE,1386,22,1067,3,212,OURENSE,"La temporada templada dura 2,8 meses, del 23 de junio al 16 de septiembre, y la temperatura máxima promedio diaria es más de 25 °C. El día más caluroso del año es el 30 de julio, con una temperatura máxima promedio de 29 °C y una temperatura mínima promedio de 16 °C.La temporada fresca dura 3,6 meses, del 15 de noviembre al 3 de marzo, y la temperatura máxima promedio diaria es menos de 15 °C. El día más frío del año es el 20 de enero, con una temperatura mínima promedio de 5 °C y máxima promedio de 12 °C.","La parte más despejada del año en Orense comienza aproximadamente el 7 de junio; dura 3,4 meses y se termina aproximadamente el 19 de septiembre. El 20 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 81 % del tiempo y nublado o mayormente nublado el 19 % del tiempo.La parte más nublada del año comienza aproximadamente el 19 de septiembre; dura 8,6 meses y se termina aproximadamente el 7 de junio. El 16 de enero, el día más nublado del año, el cielo está nublado o mayormente nublado el 67 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 33 % del tiempo.","La temporada más mojada dura 8,2 meses, de 27 de septiembre a 2 de junio, con una probabilidad de más del 25 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 41 % el 29 de octubre.La temporada más seca dura 3,8 meses, del 2 de junio al 27 de septiembre. La probabilidad mínima de un día mojado es del 9 % el 24 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 41 % el 29 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 28 de diciembre, con una acumulación total promedio de 128 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 23 de julio, con una acumulación total promedio de 18 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Orense para las actividades turísticas generales a la intemperie es desde mediados de junio hasta mediados de septiembre, con una puntuación máxima en la última semana de julio."
PALENCIA,1484,9,454,4,87,PALENCIA,"La temporada templada dura 2,9 meses, del 16 de junio al 12 de septiembre, y la temperatura máxima promedio diaria es más de 25 °C. El día más caluroso del año es el 31 de julio, con una temperatura máxima promedio de 29 °C y una temperatura mínima promedio de 14 °C.La temporada fresca dura 3,6 meses, del 15 de noviembre al 2 de marzo, y la temperatura máxima promedio diaria es menos de 12 °C. El día más frío del año es el 15 de enero, con una temperatura mínima promedio de 0 °C y máxima promedio de 8 °C.","La parte más despejada del año en Palencia comienza aproximadamente el 6 de junio; dura 3,4 meses y se termina aproximadamente el 19 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 84 % del tiempo y nublado o mayormente nublado el 16 % del tiempo.La parte más nublada del año comienza aproximadamente el 19 de septiembre; dura 8,6 meses y se termina aproximadamente el 6 de junio. El 1 de enero, el día más nublado del año, el cielo está nublado o mayormente nublado el 61 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 39 % del tiempo.","La temporada más mojada dura 8,8 meses, de 26 de septiembre a 20 de junio, con una probabilidad de más del 15 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 24 % el 29 de octubre.La temporada más seca dura 3,2 meses, del 20 de junio al 26 de septiembre. La probabilidad mínima de un día mojado es del 6 % el 31 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 24 % el 29 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 28 de octubre, con una acumulación total promedio de 45 milímetros.El periodo del año sin lluvia dura 1,1 meses, del 16 de julio al 19 de agosto. La fecha aproximada con la menor cantidad de lluvia es el 28 de julio, con una acumulación total promedio de 11 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Palencia para las actividades turísticas generales a la intemperie es desde mediados de junio hasta mediados de septiembre, con una puntuación máxima en la tercera semana de julio."
PONTEVEDRA,699,8,624,6,154,PONTEVEDRA,"La temporada templada dura 2,9 meses, del 22 de junio al 19 de septiembre, y la temperatura máxima promedio diaria es más de 23 °C. El día más caluroso del año es el 29 de julio, con una temperatura máxima promedio de 26 °C y una temperatura mínima promedio de 16 °C.La temporada fresca dura 3,6 meses, del 18 de noviembre al 4 de marzo, y la temperatura máxima promedio diaria es menos de 15 °C. El día más frío del año es el 23 de enero, con una temperatura mínima promedio de 7 °C y máxima promedio de 13 °C.","La parte más despejada del año en Pontevedra comienza aproximadamente el 7 de junio; dura 3,3 meses y se termina aproximadamente el 17 de septiembre. El 27 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 81 % del tiempo y nublado o mayormente nublado el 19 % del tiempo.La parte más nublada del año comienza aproximadamente el 17 de septiembre; dura 8,7 meses y se termina aproximadamente el 7 de junio. El 1 de enero, el día más nublado del año, el cielo está nublado o mayormente nublado el 61 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 39 % del tiempo.","La temporada más mojada dura 8,2 meses, de 25 de septiembre a 1 de junio, con una probabilidad de más del 26 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 43 % el 8 de enero.La temporada más seca dura 3,8 meses, del 1 de junio al 25 de septiembre. La probabilidad mínima de un día mojado es del 9 % el 24 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 43 % el 29 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 29 de diciembre, con una acumulación total promedio de 151 milímetros.La fecha aproximada con la menor cantidad de lluvia es el 21 de julio, con una acumulación total promedio de 21 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Pontevedra para las actividades turísticas generales a la intemperie es desde mediados de junio hasta mediados de septiembre, con una puntuación máxima en la última semana de julio."
SALAMANCA,1395,14,790,5,154,SALAMANCA,"La temporada calurosa dura 2,9 meses, del 15 de junio al 12 de septiembre, y la temperatura máxima promedio diaria es más de 26 °C. El día más caluroso del año es el 30 de julio, con una temperatura máxima promedio de 30 °C y una temperatura mínima promedio de 13 °C.La temporada fría dura 3,6 meses, del 15 de noviembre al 3 de marzo, y la temperatura máxima promedio diaria es menos de 13 °C. El día más frío del año es el 23 de enero, con una temperatura mínima promedio de -0 °C y máxima promedio de 9 °C.","La parte más despejada del año en Salamanca comienza aproximadamente el 6 de junio; dura 3,4 meses y se termina aproximadamente el 18 de septiembre. El 21 de julio, el día más despejado del año, el cielo está despejado, mayormente despejado o parcialmente nublado el 86 % del tiempo y nublado o mayormente nublado el 14 % del tiempo.La parte más nublada del año comienza aproximadamente el 18 de septiembre; dura 8,6 meses y se termina aproximadamente el 6 de junio. El 30 de diciembre, el día más nublado del año, el cielo está nublado o mayormente nublado el 59 % del tiempo y despejado, mayormente despejado o parcialmente nublado el 41 % del tiempo.","La temporada más mojada dura 8,6 meses, de 24 de septiembre a 10 de junio, con una probabilidad de más del 14 % de que cierto día será un día mojado. La probabilidad máxima de un día mojado es del 23 % el 31 de octubre.La temporada más seca dura 3,4 meses, del 10 de junio al 24 de septiembre. La probabilidad mínima de un día mojado es del 5 % el 31 de julio.Entre los días mojados, distinguimos entre los que tienen solamente lluvia, solamente nieve o una combinación de las dos. En base a esta categorización, el tipo más común de precipitación durante el año es solo lluvia, con una probabilidad máxima del 23 % el 31 de octubre.","La mayoría de la lluvia cae durante los 31 días centrados alrededor del 24 de octubre, con una acumulación total promedio de 43 milímetros.El periodo del año sin lluvia dura 1,9 meses, del 2 de julio al 30 de agosto. La fecha aproximada con la menor cantidad de lluvia es el 27 de julio, con una acumulación total promedio de 7 milímetros.","La puntuación de turismo favorece los días despejados y sin lluvia con temperaturas percibidas entre 18 °C y 27 °C. En base a esta puntuación, la mejor época del año para visitar Salamanca para las actividades turísticas generales a la intemperie es desde mediados de junio hasta mediados de septiembre, con una puntuación máxima en la última semana de julio."
