Rating,Review Quote,Full Review,Date of review,Date of visit
50,Best Tapas in Barcelona!,"We tried to get a room with no success on Sunday, the queue was too long and we were hungry, so we came back a day after and we took a table for 2. The staff is very friendly and polite with their clients, even if they are waiting outside being served with drinks. We took a menu for 2 and we got 8 tapas + an antre with cheese and Iberic ham. All the food was delicious, they are more than tapas!! We also enjoyed their home made Sangria, all of these at reasonable prices.Thank you again and keep the good work! For all who travel to Barcelona, go to Bodega Biaritz, wait for a table (it doesn’t take too long, people are eating and leaving) and you will never forget this experience!Show less","Reviewed August 27, 2018",Date of visit: August 2018
50,Hidden Gem,"This tiny restaurant is a hidden gem in the side streets of Barcelona. Only 25 seats - bar stools on the bar/kitchen counter on the left or on small tables against the wall on the right. You will have to queue, no booking system or pre booking but well worth the wait. Had Sangria while queuing and happily chatted with other people waiting too. Two fixed tapas menus 29 and 39 Euros for 2 people. We had the 39E and it was delicious. They do not hurry you and allow you to have your table as long as you want it, therefore no time given while waiting outside either. Only meat, no fish. Staff superb. Good quality Sangria too. The cheapest meal we had in Barcelona and very good value. Cash only.Show less","Reviewed August 27, 2018",Date of visit: August 2018
50,Best food in Barcelona!,"This tiny little bar is an absolute gem of a place.The tapas are unlike anything I've ever tasted in my life. Each one was nicer than the last. So full of flavour, beautifully made and of such good quality you'd expect to pay high prices for them but for a sharing plate for two its only €27.The queues build quickly so get there eaely but its definitely worth waiting a bit to get a seat.Staff are very friendly and accomodating and will explain what each dish is. They dont serve any fish or sea food which suited us perfectly and if you don't like anything they bring they will happily exchange it for something else. Do not go to Barcelona without visiting this place!Show less","Reviewed August 27, 2018",Date of visit: August 2018
50,Best food/tapas in Barcelona !,"My husband and I visited here tonight and it was the most amazing food and restaurant I have been to! All the other restaurants in Barcelona have been sub par compared to this. I want to go back for every meal. The food is so flavorful which has been lacking in all the places we have been to so far until we found this restaurant. It’s very small, so get there early. We came around 7 which is early for dinner in Barcelona and we were able to walk right in but when we left there was a line out the door.They walk you around the bar of food and explain what each dish is and you just let them know which ones you want. I wanted to choose all of them. I think we chose 15!! We also had a bottle of wine and our bill was only about 70 euros, which I think is so cheap especially for as much food and the quality of the food!You are will regret life if you don’t try this restaurant!Show less","Reviewed August 23, 2018",Date of visit: August 2018
50,Must to see,I recommended this place for the best tapas in my life. Freshly prepared and served. Great decorations and friendly staff,"Reviewed August 21, 2018",Date of visit: August 2018
40,Amazing Experience!,"My girlfriend and I visited this restaurant last week when wandering around in Barcelona, Spain. We actually walked by one day, to see a long line up in front, when we then read a sign saying there was another location close by. We walked over to the second location only to see another line up so we thought, this place must be great! We decided we’d go back the next day, and hopefully miss the rush, so that’s exactly what we did.We weren’t quite sure what the restaurant was all about, we just knew it was busy. We actually got lucky and got a seat right away. We happened to miss the rush that started shortly after we sat down. We were pleasantly surprised to see that on the menu, there basically was no menu. The concept was cool - you sit, option to have a starter or not, and you are served a surprise variety of 8 different tapas. There is no fish, only meat and veggies. They ask if you have a preference on which you’d like more and whether or not you like spicey foods. We asked for an even mix of each option, including some spice!!Each tapa they brought out was better than the next. It was quite small inside, but cute and intimate. Even the sangria they served was amazing! One of the best parts of our experience was meeting our server Kareen. The entire staff was lovely; Kareen in particular had such a spontaneous and fun spunk to her which truly made for a great experience. She had a smile the entire time. Once asked where we were from (Toronto) she went ahead and played the new song “In My Feelings” which got the whole restaurant to respond with smiles and laughter. She truly made our experience special! OH, and how could I forget the liquor shots they gave us at the end of the meal, which was on the house. It was literally like drinking a dessert. So good! I’d recommend this place to anyone visiting Barcelona who’s looking for great food and great service. My gf and I truly enjoyed our evening and would go back in a heart beat.Show less","Reviewed August 20, 2018",Date of visit: August 2018
40,Loved it,"Perfect place for Tapas and drink . Very close to Las ramblas. Lots of veg options. They surprise you with dishes . The drinks are good as well. My son who is eats non-veg, loved it immensely. We liked it for veg as well.","Reviewed August 20, 2018",Date of visit: August 2018
50,Best tapas in Spain,"This is a gorgeous little restaurant. Great atmosphere, lovely staff and the food is divine! We went for option 1 where you say what you like and they surprise you. We are veggie and the food was incredible. Super fresh and tasty. We will definitely go back! Top tip - take cash as they don’t accept cards.Show less","Reviewed August 18, 2018",Date of visit: August 2018
50,"Authentic atmosphere, super food, very friendly","Authentic atmosphere, super food and extremly friendly staff - especially Nicholas. Can only recommend this place. Even our 14-year- old son enjoyed it.","Reviewed August 18, 2018",Date of visit: August 2018
50,Great Food and Service,"Went to their first location at 10 PM and there was an hour wait. A server came out to take drink orders while we waited in line. She did tell us their other restaurant was a little bigger and was about a 2 minute straight line walk to get there. We decided to try that option. It was still a 40 minute wait at the other location. That location also had a server taking drink orders in line so at least we had something to quench our thirst while waiting.We decided on the 8 piece, chefs choice for 2 people tapas option for $29E. There is a 10 piece option for $39E which included Iberico ham and Manchego cheese, but we had already tried enough of both at La Boqueria Market that day. I am always hesitant to do the ""chefs choice"" option since usually they are trying to get rid of the items no one is buying. The first two items were OK so I thought maybe it was a bad choice. The next six items were so good it completely changed my mind about our decision. If you do not like any item when they bring it, let them know and they will change it for something else, no questions asked. If you want to view everything available you can walk up to the bar and make your own choices, or look at the menu board on the wall for what is available that day. If you are a seasoned tapas person the menu board could work for you I am not an expert, so would recommend them making the choices for you. They will ask you what types of food you like, spicy, or mild, etc. to get an idea of your preferences.The server, Sherry was available all the time so we never had to wait for anything. She was good at explaining (in English) what we were being served. The service was expedient, but we never felt rushed. They had menus in English and French.Had a house Mojito while waiting in line and a glass of Rose with the meal. Good match with the food.Went with my 13 year old daughter who is a picky eater and she was very happy with her first experience eating tapas.They are a cash only restaurant. With that said the prices are very reasonable for both food and drink.Show less","Reviewed August 17, 2018",Date of visit: August 2018
50,Great drinks and tapas- Long Waits during the summer.,"We first went to the Bodega Biarritz closer to the square. Wait of over an hour- they advised us to go to the other location where they said we would have a shorter wait and more comfortable seats- so off we went. Location #2 the wait was just as long, and the seats that finally came open were also bar stools. However, we got some sangria while we waited and stayed on the line. Staff did a good job communicating wait times etc. and stayed positive and engaged. Once seated, went for the chef's choice for tapas. Each dish was thoughtfully prepared, fresh and delicious. Next time I will pick my own as there were one or two I would have liked to try that I didn't get to taste. Despite the wait we all enjoyed our meal. The tapas was really good and for 5 people with drinks we spent about 25-30 euros per person, and were so full we wondered if we would be able to stroll home.Show less","Reviewed August 13, 2018",Date of visit: August 2018
50,Fab Tapas 😀,Authentic tapas no fish no seafood 👌all gorgeous on our option platter 👍staff young and welcoming and extremely helpful 💕🎉,"Reviewed August 11, 2018",Date of visit: August 2018
30,Tourists are treated differently,"We came based on the positive reviews. The food is exquisite and the tapas are excellent. However, we noticed that our Copa de sangria was different and significantly smaller than one given to other guys dining there. This was neither explained on the menu nor through the indications on the wall. Quite sad that they treat tourists in different way.Show less","Reviewed August 10, 2018",Date of visit: August 2018
50,AmaZing Tapas,This was the first and the best tapas we had in Barcelona. Staff is super friendly and every tapas we had was so amazing.,"Reviewed August 6, 2018",Date of visit: August 2018
40,Endless Tapas options!,"Three of us decided to try this Tapas Bar on our last night in Barcelona. Great drinks, atmosphere, and Tapas. It's a small establishment (both locations a few hundred meters apart) and you might feel cramped, but that's up to the individual. the service was fast, friendly and more than accommodating. I regret not going earlier in our trip because I would have come back every night if we had! Yes, that's how good it was. FYI... cash only establishment.Show less","Reviewed August 5, 2018",Date of visit: July 2018
40,Amazing Little Place,We loved it! Excellent delicious food. Cosy setting. Friendly staff. It was a bit too hot inside though. Overall lovely experience and must visit in Barcelona.,"Reviewed August 4, 2018",Date of visit: August 2018
50,Too Tapas,Another fantastic find in Barcelona! Fantastic food including the best Vegetarian my step daughter has found here. Had to queue (maybe 15 minutes). Great prices under €80 for 4 including wine. Intimate and atmospheric inside. Great team led by Nicholas.This city has such fantastic places to eat! I would never go to a chain here.Well done all!Show less,"Reviewed August 4, 2018",Date of visit: August 2018
50,Highlight of our Barcelona trip,We visited bodega biarritz fairly early in the evening. Our host Mark was helpful and driendly from the moment we walked through the door. We chose to have the 8 tapas with no decion making involved and couldnt be happier with what we received. My parter is vegetarian which was not a problem at all. Mark spoke perfect English and guided us through our tapas and drinks with no troubles. The price was less than expected and I cannot recommend this bar highly enoughShow less,"Reviewed August 4, 2018",Date of visit: August 2018
50,The best in Barcelona!,"The food is, needless to say, the best I've experienced in Barcelona. Nicholas, who chose every tapas, treated us with joy and positive attitude. He took a fantastic picture of us. I highly recommend this restaurent to everyone who's traveling.","Reviewed August 3, 2018",Date of visit: August 2018
50,Great food with outstanding Serviceteam,"The Tapas were the best we had during our Stay in Barcelona. The Price and The Quality were unbeatable. I especially want to Point out The outstanding Service, especially of our Server Nicholas, he was nothing but Nice and super attentive. The rest of The Team was also super Nice. We will defenateley be coming back!Show less","Reviewed August 2, 2018",Date of visit: August 2018
50,A must go!,"The food is delicious. We opted for the surprise menu option 2, and were not disappointed. This was a starter, followed by 8 Tapas dishes. The service was great. A special thanks to Kareen for it! It is quite small and this is just one of the charms. You cannot book so it is a matter of how busy it is. We got there about 8pm and didn't have to queue, however it did get much busier from 8.Show less","Reviewed July 30, 2018",Date of visit: July 2018
50,Insane Place!,"It's small but worth the cue if you can't get in. The staff are a great laugh and the food itself is insane! its so good!Kareen Served us, she was great also. Would make a conscious effort to go back again.Price, very reasonable! 40e for 2 people with wine. I couldn't get a glass of water for that down the marina.if you're in Barca' GO THERE!Show less","Reviewed July 30, 2018",Date of visit: June 2018
50,great food,"it's a tiny and a bit uninviting place if you compare it to its neighboring restaurants but we had a very tasty, local cuisine ,tapas meal","Reviewed July 28, 2018",Date of visit: July 2018
50,You must have been so good here,"have come back here for the third year. Meanwhile know the way, remains friendly and good. Come back next year. top staff very friendly. Highly recommended","Reviewed July 28, 2018",Date of visit: July 2018
50,Great surprise,"Great surprise, recommended by a friend and very accommodating for my partner who had a dairy and gluten allergy also allowing me to have a taste of the menu without being impeded, kareen was the server who can speak 5 languages including her own. Fantastic service and even better food would highly recommend. Do not let our bad photography put you off.Show less","Reviewed July 26, 2018",Date of visit: July 2018
50,Lucky Find,"My wife and I were going to eat early tapas dinner before taking very early flight the next morning. We wanted to go to Viana, but the only seating available was front bar by the door. No privacy, terribly cramped, so we left.But this gem was right across the alley-sized street. Wonderful, cozy ambience for couples, and tapas bar seating too for those who prefer. Food was terrific and service even better. The 8 piece pre-fix for 2 was simply delicious and filling. Just know, this is a meat, cheese and vegetable place. No fish or seafood. Viana may be a thing, but this place is no also-ran sloppy second.Show less","Reviewed July 26, 2018",Date of visit: July 2018
40,Delicious food but precooked,"The food here is precooked and you pick from the lot laid out in front of you. But we still loved it and even though it was reheated, it was heated to perfection and the meats were extremely tender. Would definitely visit again.","Reviewed July 25, 2018",Date of visit: July 2018
50,Wonderful tapas experience,"This restaurant could be a miss for some people, and a hit for others. The restaurant is a small place that would not work well with bigger groups. Being just 2 of us, we had no issues squeezing into a smaller table. We went with the tasting menu and let them surprise us with their recommendations. We personally liked this as we wanted to be adventurous and be surprised. If you are a picky eater this may not work for you. All the items are displayed and then heated up so it is easy to pick what you want as well. We found everything very delicious. It actually was one of our favorite restaurants as we enjoyed the atmosphere and novelty of the experience. The sangria and wine were good too. But if you want to sit there and enjoy wine for awhile this is not possible as you need to be eating to continue to keep your seat. The place gets crowded and there's a long line so they do their best to try to get people in and out.Show less","Reviewed July 24, 2018",Date of visit: March 2018
30,Very good but VERY small portions,"The food was very tasty. There is no fish on the menu and it’s all a set menu. Decor is cute and my friends and I had a really lovely evening here. However, they serve food on small plates and though there were 5 of us having the meat menu, they didn’t scale up the food portions. This meant we had half a meat ball each and one mouthful of everything which I think was ridiculous. We tried to ask for more food but they weren’t having it. So I’d recommend this place for no more than 2-3 sized parties.Show less","Reviewed July 19, 2018",Date of visit: July 2018
30,Good for a quick visit but don't expect too much,"The ranking in here is really misleading. The tapas are all pre-cooked and they are displayed all on a counter from which you choose the ones you want (don't take the surprise menu, it's just a hoax to get you paying more). I was a bit sceptical about even eating things that have been out on a table for I don't know how long. The menu promises that the waiters will go through with all the choices with you, but no one there explained what the tapas included, so we just picked some of them by random.After choosing the ones you wanted, they heat them all up (which is also weird, I would have loved to have some cold ones too). All of the tapas seemed pretty similar and all of them were really heavy, as we had 3 pieces each and were pretty full afterwards. Also ou might expect from the name that they have a nice selection of wines, but they only have few choices for white and red wine which was disappointing. They do not accept any cards, so remember to take cash with you.Show less","Reviewed July 15, 2018",Date of visit: July 2018
30,Pre-cooked food!!,"Reviews are always very subjective, but I would simply ask you this. If you visited a restaurant that is ranked 28th out of 8,676 (as I write) in a fantastic city like Barcelona, would you expect to be given pre-cooked food? I visited here on 9th July, there were around 20 tapas dishes all precooked set out on the bar in the sweltering heat, none of them were covered. You then choose which dishes you want and they are heated up in front of you! You then get ""stuff"" added. My aubergines with cheese had what I think was some sort of sweet and sour sauce poured over them, very odd!The food was perfectly edible and the Spanish waiter was very friendly helping me with my dreadful Spanish, but a quality dining experience this is not.Show less","Reviewed July 15, 2018",Date of visit: July 2018
50,Fabulous!,"This restaurant is a little hole-in-the wall place you probably wouldn’t find without TripAdvisor. So glad we did! It is tiny, so go early or be prepared to wait (it will be worth it). You can choose your tapas after having each one explained or you can let them do their magic and present you with a platter - you don’t have to accept the choices. All done with good humor and patience. Reasonably priced - cash onlyShow less","Reviewed July 14, 2018",Date of visit: July 2018
30,Barcelona food scene,This tapas place is good but certainly not the best. There was not enough variety in the ingredients used in the tapas. It certainly didn’t meet its excellent ranking on Trip Advisor. It is however a decent place to try a few tapas in Barcelona.,"Reviewed July 12, 2018",Date of visit: June 2018
50,Bodega Biarritz,"Me and my 4 friends from Glasgow came here on a Friday night, which turned into the funniest night of our holiday! The staff were very friendly and accommodating. The atmosphere in the bar was fantastic and we will definitely be back in the next few years hopefully!Show less","Reviewed July 11, 2018",Date of visit: July 2018
50,Great hidden gem!,Wow what a cosy little yet lively bar. Had a great time here delicious food great atmosphere and the wait staff was amazing. Kareen looked after us very well she made our night. Very accommodating and attentive. She's also quite funny and entertaining. If you're around in the Gotchic Quarters check out this placeShow less,"Reviewed July 11, 2018",Date of visit: July 2018
40,Nice experience,"Nice Food, friendly staff,bit of a tourist trap but very enjoyable all the same. Opted for a preselected range of tapas, feared that we would get short changed but no we were given a nice selection half meat based half veggie based. 30 minute queue but were able to have drinks while we waited.Show less","Reviewed July 10, 2018",Date of visit: June 2018
30,Very special kitchen,"The atmosphere were good, specially the kitchen we went throug kitchen to table. Wood owens in the kitchen. The food were not as good as expected. Wine was excellent. Nice experience if the food is not most impotant.","Reviewed July 9, 2018",Date of visit: April 2018
50,A hidden gem,"A hidden gem in a back street in Barcelona. Very small restaurant with space for about 20 people. It is a homely ""Spanish"" restaruant and you see the kitchen. There are so much good flavors, foodgasm!","Reviewed July 9, 2018",Date of visit: July 2018
50,Best by far in Barca,"Visited here for the first time tonight. What an amazing place, full of friendly staff, including Nicholas, who made the night even better. The food is absolutely amazing, try and sit at the bar to choose from a really wide selection of tapas. Cannot fault this place on any level, well worth a visit.Show less","Reviewed July 8, 2018",Date of visit: July 2018
20,"Ok food, just go early and avoid their ""surprise menu""","The restaurant prepares many of its tapas in advance for display (similar to cafeteria style), and heats / garnishes when ordered. Itself, this is not a problem given the quick turnover.Unfortunately, towards the end of the night, they stop replenishing dishes so selection becomes very limited. Their menu focuses around a ""surprise menu"" (8 tapas for 27-39 euro), where you get 8 tapas of their choosing. However, towards closing time (we went an hour before closing), the surprise menu became a clearance of whatever was leftover, regardless of what dietary preferences you state when they ask.Overall, food was decent, though debatable if worth waiting >30 minutes for in line. If you go, make sure its much before closing and pick your own tapas instead of going with their surprise menu.Show less","Reviewed July 8, 2018",Date of visit: July 2018
50,Great first Tapas experience!,"We picked this tapas bar based on reviews we saw before and they didn’t disappoint. We were welcomed by our lovely server, Kareen and she explained their menu. We picked the surprise tapas experience where they bring you 8 random dishes. It was incredible and really filled us up. The Sangria was delicious and all in all was excellent value for money! Is a lovely intimate setting and would definitely recommend if you’re in Barcelona.Show less","Reviewed July 3, 2018",Date of visit: June 2018
50,First tapas experience,"Delicious food, sufficient portions, excellent service from the staff and very nice presentation of food. One of the best experiences in Barcelona. Thanks Lucas for your hospitality.","Reviewed June 30, 2018",Date of visit: June 2018
50,Best tapas and staff in Barcelona,We were told about this place by a friend and it did not disappoint. We had food here 2 out of our 3 night stay in barcelona. We got the suprise tapas menu and it was excellent. Every tapa dish was delicious! Staff were excellent...in particular nicholas and kareen!Show less,"Reviewed June 29, 2018",Date of visit: June 2018
50,Best tapas in town?,"Delicious food, traditional spanish spices. We tried the menu 1, which was just enough for two people. You cant pay with card, but they inform you well about that, so take cash with you. Special Thanks to our waiter Omid!","Reviewed June 27, 2018",Date of visit: June 2018
50,"Small place, great food","We were lucky to enter with few minutes of waiting. Food was great. Interesting menu, not the crap selling on la Rambla and beaches. No fishfood. The price was ok, similar to other places in Barcelona","Reviewed June 25, 2018",Date of visit: June 2018
50,Best Tapas in all of Spain,"I have traveld to Barcelona 3 times in my life and this place had the best tapas of my life. The waiters are super sweet, nice , and useful. The way the restaurant works is you get 8 different tapas to share with one other person. We had 4 people so we reticence 16 different tapas that the waiters choose for you. If you do not like one of the tapas that they chose you can ask for a new one and they are happy to bring one. This restaurant has no seafood only meat and vegetables. I would recommend going right when they open to get a good seat because they do not take reservations and it is popular.Show less","Reviewed June 23, 2018",Date of visit: June 2018
50,Best tapas in Barcelona!,"My boyfriend and I had our last dinner in Barcelona here. The restaurant does not take reservations and due to popularity, expect the wait to be more than 30 mins. However, the food is well worth the wait!The restaurant allowed the customers to order drinks while waiting in line, which was very nice. Platters were very tasty and was not expensive at all. We ordered an 8 piece tapas platter (chosen by the chef) for 2, which also included a ham platter for €38. Unlike many touristy restaurants in Barcelona, this restaurant served authentic homemade tapas which made the whole meal worthwhile.Staff were very friendly and welcoming, especially Kareen, who mainly served us and looked after us for the night. The bar staff were also very friendly and made us feel very comfortable and 'at home'.Would definitely recommend this to anyone travelling to Barcelona! A true taste of Spanish food!Show less","Reviewed June 21, 2018",Date of visit: May 2018
30,Nothing bad but not the best,"Ambience is special with dark red lights. We had the surprise menu for 2 people which recommended by other reviewers. Food was not bad at all but some are better than the others. But I would recommend to pick the tapas by yourself instead of choosing surprise menu so you can get exactly what you want. Like our plate, I think there are too many carbs(pastries tapas) instead of meat which I prefer and I think we did not save any money from order the surprise menu instead of choosing tapas by ourselves. I think most of their tapas choices are pastries like.After all, the taste of the food is fine but nothing special.Show less","Reviewed June 19, 2018",Date of visit: June 2018
50,Best Tapas We’ve Had!,"We loved this charming restaurant we found through TripAdvisor!! Tucked away in an alleyway, this restaurant has the most delectable tapas! What’s unique about their restaurant is that you pick either 8 tapas or 12 tapas. And it’s no fish or seafood, land only. They handpick the tapas for you! We loved everything they picked for us and can not stop talking about this meal. There was a line so come early!Show less","Reviewed June 19, 2018",Date of visit: June 2018
50,Give it a go!,"Great staff and great food, we loved the idea that we didn't know what we were going to get. Staff asked us if we had any allergies or dislikes so we told them we weren't too keen on mushrooms so nothing we were served had mushrooms, everything was lovely and such a reasonable priced...we walked 2 miles to get here! Give it a try!Show less","Reviewed June 17, 2018",Date of visit: June 2018
40,Great Tapas Bar!,"You can’t go wrong with this little tapas bar, just off the Plaça Reial. Order the surprise tapas, and the sangria. If you’re alone, I advise only ordering the four tapas, and then more if you’re still hungry. Hope to get Kareen, who is SOOO sweet and helpful.Show less","Reviewed June 14, 2018",Date of visit: June 2018
50,"Great food, great service","We were a party of two, where my partner was vegeterian. The food was great, but what made the visit truly special was the kindness and helpfulness the person who served us, namely Lucas. Thank you!","Reviewed June 14, 2018",Date of visit: June 2018
50,Awesome Tapas in a Tiny Restaurant with a Big Heart,"A fun, lively place in the heart of the Gothic Quarter. The tapas was divine and such fun to pay a set price for 8 mystery pieces. There ended up with quite a queue, which is testimony to the sublime food. We were also given liqueur shots as a bonus!Show less","Reviewed June 13, 2018",Date of visit: June 2018
50,Excellent tapas and atmosphere!,We had a fantastic evening where everything was perfect. We had to wait a bit to get inside but the food and service Lucas made up for it every bit and more. Both were fantastic and I can only recommend to everyone the place!,"Reviewed June 13, 2018",Date of visit: June 2018
50,Great Food! Great Atmosphere!,Thank you Kareen for making our meal so personal! We loved the food! We loved the atmosphere! Trust the surprise option!,"Reviewed June 12, 2018",Date of visit: June 2018
50,Intimate tapas,This is a very small place with quality experience. It is a set menu of tapas chosen by the chef for 2 people at €27. The food is delicious and quiet different. No hams or seafood. Most dishes has vegetables which was a nice change. So tasty and full of flavor. Service is outstanding.Show less,"Reviewed June 12, 2018",Date of visit: June 2018
40,Best Tapas!,"The moment we walked in, I thought it was a little tight as seating was minimal. The employees were friendly, especially Nicholas, and the Filipino waitress. I don’t recall her name. We had them pick our tapas and they hit it right on the money. Very delicious, especially with the cold beer. We had 3 specially selected plates and were full by the end. I strongly recommend this stop on your visit.Show less","Reviewed June 12, 2018",Date of visit: June 2018
50,The best tapas,"This is a deservedly popular restaurant. You may have to wait for a table, but it's certainly worth it. We had a selection of tapas here chosen by the waiter who first asked our likes and dislikes. He then picked out a selection and dishes began to appear at our table. He made it clear that if we didn't like anything, then it would be changed with no problems. The food we had was delicious. It was imaginative and tasty and well presented. If we had been in Barcelona longer, we would certainly have gone back. Not only that, but I would say it was no more expensive than other tapas places and yet it was one of the best meals I have had. The waiter, Lucus, seemed genuinely concerned that we enjoyed our visit. No wonder there was a queue to get in! Get there before 7, and you won't have to wait too long.Show less","Reviewed June 11, 2018",Date of visit: June 2018
50,Excellent Tapas - unique restaurant,"Great tapas, food was excellent and would recommend to anyone in Barcelona. We choose the Option 1: 8 tapas surprise and asked for 4 meat and 4 vegetable tapas. All were insanely good. Our server was Nicholas he was great fun and very helpful. Both my partner and i were completely full after the 8 tapas.Show less","Reviewed June 10, 2018",Date of visit: June 2018
50,Great Tapas,Great authentic Spanish food and excellent atmosphere. The place is small but very cozy. Service is excellent. Lucas is very helpful!,"Reviewed June 9, 2018",Date of visit: June 2018
50,Amazing!!,Amazing food! Amazing people! Amazing atmosphere! Amazing service! 30 minutes outside worth it! Really recommended!,"Reviewed June 5, 2018",Date of visit: June 2018
40,Excellent food and service,"This restaurant has great service and an excellent vibe. If you are looking for something different then this place is a must. The only disappointment for us was (you have an option where they pick the food options for you) the food they picked for us were too many vegetarian options and not enough meat options. The meals for me a tad small but excellent quality nonetheless. The staff are excellent and very welcoming, well worth more than one visit. Note: they accept cash only.Show less","Reviewed May 31, 2018",Date of visit: May 2018
50,"Great food, loved it.","Discovered this little gem the day before we went to it but was busy so decided to come back the next day to try. Which was a great choice. This tapas place is small but amazing. The service was friendly and great. We went for the chefs surprise 8 tapas which would definetly recommend. There wasn’t anything I didn’t like. If there’s something you don’t like on that selection they will swap it too. (They don’t serve seafood, maybe that’s why but didn’t bother me as I don’t like it)How do I describe what I ate. My mouth was alive with flavour. That’s how. While waiting for the 8 surprise tapas (which was different to tapas I’d had before) you also get ham cheese and tomato bread selection.Mark, Kareen and Roni where very welcoming. If You are in Barcelona definetly check this place out. It’s is small but worth it. If you don’t want to wait as you may have to they have another little place just down the alley too. But this one just of the square felt more authentic so we went for this one. We had a little drink while waited for space, which was only like 5 or 10 minutes or so.I literally started trip advisor account to review this place.Show less","Reviewed May 28, 2018",Date of visit: May 2018
50,Delicious,Great food and brilliant service from Ronni. Would definitely recommend to anyone wanting an authentic Spanish tapas experience!,"Reviewed May 25, 2018",Date of visit: May 2018
50,Highly recommended,Such a good place and a great value. We took the option 2 from the menu and we were both stuffed (39 euro) . Our waitress Kareen was so lovely and helpful:),"Reviewed May 24, 2018",Date of visit: May 2018
50,Romantic tapas dinner,"This is our first time in Barcelona and Spain. We have loved the food and been to a few traditional places but wanted something quaint and special that was what we have heard the tapas bars here could be. This was perfect- small, wonderful surroundings, an amazing variety of delicious dishes, great service by Roni, and even very reasonable prices. We eat mostly vegetarian and more than half of the thirty tapas were veggie and unusual. We especially liked the spinach and mushroom dishes. Roni really wanted to know our preferences so he could make suggestions. This will go on the top of our list of our favorite places to eat in the world. Great ambiance, food, service, and prices, right in the heart of the Gothic Quarter, just a few minutes walk from the Cathedral.Show less","Reviewed May 24, 2018",Date of visit: May 2018
50,Best Tapas!!! Best Atmosphere!!!,"We found Bodega Biarritz after reading the wonderful reviews on trip advisor and we were not disappointed!Upon arriving at the restaurant we were advised a 45 minute wait but we were happy and willing to wait! The owner Manuel pulled out all the stops and managed to seat us in 10 minutes.The intimate atmosphere made for a very cosy and socialable experience. It was nice to not eat in a stuffy,formal environment given that we had our 3 year old daughter with us.The tapas style food we had was exceptional quality and really good value at around €40 for sharing courses that filled us up!Manuel was funny, welcoming and made a real fuss over Sophie. We left feeling like we'd just been hosted by family! We were brought a digestif after our meal and they didn't leave out little Sophie, bringing her an orange juice in a shot glass.Special mention to the kind waiter Lucas too - great guy!Show less","Reviewed May 23, 2018",Date of visit: May 2018
50,Delicious and reasonably priced,Was a busy night so needed to queue but this wasn’t for ages and we were given wine as we waited. Food was absolutely delicious and reasonably priced for that part of town. Marvellous tapas and very friendly staff.,"Reviewed May 22, 2018",Date of visit: May 2018
50,Wonderful atmosphere and good service,We went to this restaurant after reading the reviews. we weren' disappointed lovely meal and had the surprise menu. We had 8 tapas all were really tasty and authentic. it was the best meal we had during our stay. it gets busy so don't leave it late to get there!Show less,"Reviewed May 21, 2018",Date of visit: May 2018
50,The best place for tapas!,"If you are looking for a great tapas place in Barcelona, this is the place to eat! We had to wait in queue for a table, but the experience was worth it! We tried the surprise tapas menu and it was absolutely amazing. Special thanks to Kareen for serving the food with great attitude and all smiles.Show less","Reviewed May 21, 2018",Date of visit: May 2018
50,"Great service, food & atmosphere","Thanks to the team at Bodega Biarritz 1881 - warm welcome, drink outside during easy 10 minute wait to be seated. Cosy & small inside - option of stool at a few high tables or at the bar adds to experience. Great selection of food (we went for the surprise menu selected by staff & were not disappointed). Would definitely return if coming back to Barcelona.Show less","Reviewed May 19, 2018",Date of visit: May 2018
50,Superb tapas,Arrived into Barcelona late in the afternoon and following a good walk stumbled on this tapas bar. Lovely find. Great service with delicious tapas and a f8ne wine recomendation. Teallybworth a visit although it does get extremely busy late on.We had the surprise menu and the selection was excellent. More than enough for two and we had had 7yr old with us and had plenty.Really worth seeking out this excellent little tapas barShow less,"Reviewed May 19, 2018",Date of visit: May 2018
40,Tiny inside,"Visited here recently as we had seen a recommendation online. Seems to be very busy and we waiting about 30 minutes to get in but were served drinks outside. We chose the 8 tapas set meal but we did get to choose what we ate, the tapas are all lined up on the bar and you just walk along and choose what you fancy. The food was good so worth the wait, it feels quite authentic inside, very small restaurant but the staff are all efficient and friendly. I would recommendShow less","Reviewed May 17, 2018",Date of visit: May 2018
50,Best Meal in Barcelona,"Of all the meals we had in Barcelona, this was absolutely the BEST! We opted fo the surprise menu. They selected our tapas for us. Everything was delicious. An abundance of food, high quality, and great service. The wine was very good. It is a small restaurant so get their early, expect to wait awhile but well worth it!Show less","Reviewed May 17, 2018",Date of visit: May 2018
50,Best Tapas in Barcelona,"Wow, what a wonderful experience! I could not get enough of this wonderful, charming Tapas Bar! I ate there 4 nights in a row. Ronni, Kareen and Mark greeted us with a smile and literally spoiled us. Excellent service! Excellent food! Great Variety! Every tapas is bursting with flavor! Every tapas is beautifully presented! Loved, loved this place. The staff are so happy and cheerful! You can tell that they take great pride in the quality of their food and they want everyone to have a wonderful experience! Helpful Info:1. Cash Only2. Works great with all food sensitivities3. No seafood tapas4. Small space, they take no reservations, so expect to stand in line.5. Great location in Gothic districtThank you for making our trip so memorable!Show less","Reviewed May 17, 2018",Date of visit: May 2018
